list_name	bg_loci	bg_known	sig_loci	sig_known	fold	fisher_p	cell	swept	kb	relation
prostate	923	38	2	0	0	1	HCC_high x Soskic_CD4	locus_kb	250	unrelated control
RA	923	90	2	0	0	1	HCC_high x Soskic_CD4	locus_kb	250	unrelated control
melanoma	646	45	2	0	0	1	HCC_high x Soskic_CD4	known_kb	500	unrelated control
HCC	646	23	2	1	14.04	0.0699930400556795	HCC_high x Soskic_CD4	known_kb	500	own outcome
colorectal	646	102	2	1	3.17	0.291064871481028	HCC_high x Soskic_CD4	known_kb	500	unrelated control
prostate	646	20	2	0	0	1	HCC_high x Soskic_CD4	known_kb	500	unrelated control
RA	646	45	2	0	0	1	HCC_high x Soskic_CD4	known_kb	500	unrelated control
melanoma	785	76	2	0	0	1	HCC_high x Soskic_CD4	locus_kb	500	unrelated control
HCC	785	49	2	1	8.01	0.121019108280255	HCC_high x Soskic_CD4	locus_kb	500	own outcome
colorectal	785	176	2	1	2.23	0.398362147406733	HCC_high x Soskic_CD4	locus_kb	500	unrelated control
prostate	785	33	2	0	0	1	HCC_high x Soskic_CD4	locus_kb	500	unrelated control
RA	785	82	2	0	0	1	HCC_high x Soskic_CD4	locus_kb	500	unrelated control
melanoma	646	65	2	0	0	1	HCC_high x Soskic_CD4	known_kb	1000	unrelated control
HCC	646	41	2	1	7.88	0.122999016007872	HCC_high x Soskic_CD4	known_kb	1000	own outcome
colorectal	646	155	2	1	2.08	0.422588619291046	HCC_high x Soskic_CD4	known_kb	1000	unrelated control
prostate	646	30	2	0	0	1	HCC_high x Soskic_CD4	known_kb	1000	unrelated control
RA	646	66	2	0	0	1	HCC_high x Soskic_CD4	known_kb	1000	unrelated control
melanoma	646	65	2	0	0	1	HCC_high x Soskic_CD4	locus_kb	1000	unrelated control
HCC	646	41	2	1	7.88	0.122999016007872	HCC_high x Soskic_CD4	locus_kb	1000	own outcome
colorectal	646	155	2	1	2.08	0.422588619291046	HCC_high x Soskic_CD4	locus_kb	1000	unrelated control
prostate	646	30	2	0	0	1	HCC_high x Soskic_CD4	locus_kb	1000	unrelated control
RA	646	66	2	0	0	1	HCC_high x Soskic_CD4	locus_kb	1000	unrelated control
melanoma	1666	69	5	0	0	1	HCC_high x eQTLGen_blood	known_kb	100	unrelated control
HCC	1666	37	5	2	18.01	0.00460299796303263	HCC_high x eQTLGen_blood	known_kb	100	own outcome
colorectal	1666	143	5	1	2.33	0.361913867683492	HCC_high x eQTLGen_blood	known_kb	100	unrelated control
prostate	1666	18	5	0	0	1	HCC_high x eQTLGen_blood	known_kb	100	unrelated control
RA	1666	61	5	0	0	1	HCC_high x eQTLGen_blood	known_kb	100	unrelated control
melanoma	5957	565	8	0	0	1	HCC_high x eQTLGen_blood	locus_kb	100	unrelated control
HCC	5957	308	8	5	12.09	1.76177221536019e-05	HCC_high x eQTLGen_blood	locus_kb	100	own outcome
colorectal	5957	1237	8	5	3.01	0.0122188573871126	HCC_high x eQTLGen_blood	locus_kb	100	unrelated control
prostate	5957	192	8	1	3.88	0.230682434469866	HCC_high x eQTLGen_blood	locus_kb	100	unrelated control
RA	5957	524	8	1	1.42	0.521480341698447	HCC_high x eQTLGen_blood	locus_kb	100	unrelated control
melanoma	1666	97	5	0	0	1	HCC_high x eQTLGen_blood	known_kb	250	unrelated control
HCC	1666	44	5	3	22.72	0.0001658529053846	HCC_high x eQTLGen_blood	known_kb	250	own outcome
colorectal	1666	198	5	2	3.37	0.110314531274319	HCC_high x eQTLGen_blood	known_kb	250	unrelated control
prostate	1666	32	5	1	10.41	0.0925261246898451	HCC_high x eQTLGen_blood	known_kb	250	unrelated control
RA	1666	82	5	1	4.06	0.223277827819552	HCC_high x eQTLGen_blood	known_kb	250	unrelated control
melanoma	3899	364	8	0	0	1	HCC_high x eQTLGen_blood	locus_kb	250	unrelated control
HCC	3899	192	8	6	15.23	3.40684311271301e-07	HCC_high x eQTLGen_blood	locus_kb	250	own outcome
colorectal	3899	793	8	5	3.07	0.0111245896315855	HCC_high x eQTLGen_blood	locus_kb	250	unrelated control
prostate	3899	132	8	1	3.69	0.241021190650968	HCC_high x eQTLGen_blood	locus_kb	250	unrelated control
