direction	pathway	delta_mean	delta_sum	mean_prob_hi	mean_prob_lo	abs_delta_mean	max_abs_delta	n_sig_hi	n_sig_lo	n_sig_either	favored
Incoming_partner_to_CD4	CCL	-0.0482813132042314	-0.33796919242962	0.0285341962023341	0.0768155094065655	0.0482813132042314	0.123733086054079				Glyco_lo
Incoming_partner_to_CD4	SELPLG	0	0	0	0	0	0				Equal
Incoming_partner_to_CD4	CD45	0	0	0	0	0	0				Equal
Incoming_partner_to_CD4	SIRP	-0.00461673692489135	-0.0323171584742395	0.0144669527920089	0.0190836897169003	0.00461673692489135	0.0323171584742395				Glyco_lo
Incoming_partner_to_CD4	LCK	-0.0317062269969832	-0.221943588978883	0.0263772224450947	0.0580834494420779	0.0317062269969832	0.105254567143282				Glyco_lo
Incoming_partner_to_CD4	IL16	0.030436721309665	0.213057049167655	0.030436721309665	0	0.030436721309665	0.0567064491893449				Glyco_hi
Incoming_partner_to_CD4	SEMA4	0	0	0	0	0	0				Equal
Incoming_partner_to_CD4	CLEC	0	0	0	0	0	0				Equal
Incoming_partner_to_CD4	CXCL	1.63025526621953e-05	0.000114117868635367	0.0135421825514699	0.0135258799988077	0.00014007405529057	0.000547318127834678				Glyco_hi
Incoming_partner_to_CD4	CD23	0	0	0	0	0	0				Equal
Incoming_partner_to_CD4	PARs	-0.00580900460267613	-0.0406630322187329	0.00650256972121904	0.0123115743238952	0.00580900460267613	0.0149562396946289				Glyco_lo
Incoming_partner_to_CD4	LAIR1	0	0	0	0	0	0				Equal
Incoming_partner_to_CD4	IFN-II	0	0	0	0	0	0				Equal
Incoming_partner_to_CD4	JAM	0.000133531962853433	0.00093472373997403	0.00802507330111097	0.00789154133825754	0.000133531962853433	0.000734495944588041				Glyco_hi
Incoming_partner_to_CD4	CD86	0.00170048334560446	0.0119033834192312	0.0163574396347756	0.0146569562891711	0.00170048334560446	0.0119033834192312				Glyco_hi
Incoming_partner_to_CD4	VISFATIN	0	0	0	0	0	0				Equal
Incoming_partner_to_CD4	TNF	0.000938702826046565	0.00657091978232595	0.00470916723714975	0.00377046441110318	0.000938702826046565	0.00657091978232595				Glyco_hi
Incoming_partner_to_CD4	VCAM	0	0	0	0	0	0				Equal
Incoming_partner_to_CD4	APRIL	0	0	0	0	0	0				Equal
Incoming_partner_to_CD4	BTLA	-2.05889404677221e-05	-0.000144122583274055	0.0029181587393506	0.00293874767981832	2.05889404677221e-05	9.16476930159383e-05				Glyco_lo
Incoming_partner_to_CD4	BAFF	0	0	0	0	0	0				Equal
Incoming_partner_to_CD4	CD6	0	0	0	0	0	0				Equal
Incoming_partner_to_CD4	CADM	0	0	0	0	0	0				Equal
Incoming_partner_to_CD4	ICOS	0.000723400700281001	0.00506380490196701	0.00503015327490912	0.00430675257462812	0.000723400700281001	0.00506380490196701				Glyco_hi
Incoming_partner_to_CD4	LAMININ	9.70905203420783e-05	0.000679633642394548	0.00188925577193009	0.00179216525158801	9.70905203420783e-05	0.000679633642394548				Glyco_hi
Incoming_partner_to_CD4	CD48	0	0	0	0	0	0				Equal
Incoming_partner_to_CD4	GRN	0	0	0	0	0	0				Equal
Incoming_partner_to_CD4	CD137	0.00162999245911236	0.0114099472137865	0.00162999245911236	0	0.00162999245911236	0.00677958259521959				Glyco_hi
Incoming_partner_to_CD4	CD39	0.000733474431322694	0.00513432101925886	0.000733474431322694	0	0.000733474431322694	0.00198375157641549				Glyco_hi
Incoming_partner_to_CD4	CDH1	-0.000301117764353289	-0.00210782435047302	0	0.000301117764353289	0.000301117764353289	0.00210782435047302				Glyco_lo
Incoming_partner_to_CD4	GAS	0	0	0	0	0	0				Equal
Incoming_partner_to_CD4	SEMA3	0	0	0	0	0	0				Equal
Incoming_partner_to_CD4	SEMA7	0	0	0	0	0	0				Equal
Incoming_partner_to_CD4	FASLG	0.0012467871814755	0.00872751027032848	0.00130885657399013	6.2069392514635e-05	0.0012467871814755	0.00872751027032848				Glyco_hi
Incoming_partner_to_CD4	COMPLEMENT	0	0	0	0	0	0				Equal
Incoming_partner_to_CD4	CALCR	0	0	0	0	0	0				Equal
Incoming_partner_to_CD4	MPZ	0	0	0	0	0	0				Equal
Incoming_partner_to_CD4	CDH	0	0	0	0	0	0				Equal
Incoming_partner_to_CD4	NCAM	0	0	0	0	0	0				Equal
