partner	interaction_name	Glyco_prob_hi	Glyco_prob_lo	Glyco_delta	TPI1_prob_hi	TPI1_prob_lo	TPI1_delta	concordant	max_abs_effect
MonoMacro	CCL25_ACKR4	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL25_CCR9	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL26_ACKR2	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL26_CCR3	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL27_CCR10	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL27_CCR2	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL27_CCR3	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL28_CCR10	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL28_CCR3	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL2_ACKR2	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL2_CCR2	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL3L1_ACKR2	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL3L1_CCR1	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL3L3_CCR1	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL3_ACKR2	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL3_CCR1	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL3_CCR5	0.0221588557221337	0.0392866811318993	-0.0171278254097655	0.0210912998955273	0.0364138068732453	-0.0153225069777179	TRUE	0.0171278254097655
MonoMacro	CCL4_ACKR2	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL4_CCR5	0.00956774373937124	0.017133721419131	-0.00756597767975978	0.00910114889397012	0.0158540693303254	-0.00675292043635528	TRUE	0.00756597767975978
MonoMacro	CCL5_ACKR2	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL5_CCR1	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL5_CCR3	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL5_CCR4	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL5_CCR5	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL7_ACKR2	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL7_CCR1	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL7_CCR2	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL7_CCR3	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL8_ACKR2	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL8_ACKR4	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL8_CCR1	0	0	0	0	0	0	TRUE	0
MonoMacro	CCL8_CCR2	0	0	0	0	0	0	TRUE	0
NK	CCL11_ACKR2	0	0	0	0	0	0	TRUE	0
NK	CCL11_CCR3	0	0	0	0	0	0	TRUE	0
NK	CCL13_ACKR2	0	0	0	0	0	0	TRUE	0
NK	CCL13_ACKR4	0	0	0	0	0	0	TRUE	0
NK	CCL13_CCR1	0	0	0	0	0	0	TRUE	0
NK	CCL14_ACKR2	0	0	0	0	0	0	TRUE	0
