sample	response	grp	n_cells	mean_expr	median_expr	detection	gene	analysis
Post_P28_2	Non-responder	lo	24	0.329166666666667	0	0.0416666666666667	CCR1	Glyco
Post_P30	Non-responder	hi	22	0	0	0	CCR1	Glyco
Post_P30	Non-responder	lo	22	0.329090909090909	0	0.0454545454545455	CCR1	Glyco
Post_P1	Responder	hi	16	1.634375	0	0.1875	CCR5	TPI1
Post_P1	Responder	lo	16	0.365625	0	0.0625	CCR5	TPI1
Post_P1_2	Non-responder	hi	23	0.62	0	0.0869565217391304	CCR5	TPI1
Post_P1_2	Non-responder	lo	23	1.58304347826087	0	0.260869565217391	CCR5	TPI1
Post_P2	Non-responder	hi	28	3.82571428571429	2.925	0.535714285714286	CCR5	TPI1
Post_P2	Non-responder	lo	28	3.235	0	0.464285714285714	CCR5	TPI1
Post_P3	Non-responder	hi	22	2.21590909090909	0	0.272727272727273	CCR5	TPI1
Post_P3	Non-responder	lo	22	2.42181818181818	0	0.318181818181818	CCR5	TPI1
Post_P3_2	Non-responder	hi	16	2.378125	0	0.25	CCR5	TPI1
Post_P3_2	Non-responder	lo	16	2.035625	0	0.25	CCR5	TPI1
Post_P4	Responder	hi	35	0.679142857142857	0	0.114285714285714	CCR5	TPI1
Post_P4	Responder	lo	35	0.563142857142857	0	0.0857142857142857	CCR5	TPI1
Post_P5	Non-responder	hi	20	2.3365	0	0.35	CCR5	TPI1
Post_P5	Non-responder	lo	20	2.9805	0	0.35	CCR5	TPI1
Post_P5_2	Responder	hi	37	1.30459459459459	0	0.216216216216216	CCR5	TPI1
Post_P5_2	Responder	lo	37	1.90702702702703	0	0.216216216216216	CCR5	TPI1
Post_P6	Non-responder	hi	9	3.35111111111111	3.25	0.555555555555556	CCR5	TPI1
Post_P6	Non-responder	lo	9	3.03666666666667	0	0.444444444444444	CCR5	TPI1
Post_P7	Responder	hi	10	1.765	0	0.2	CCR5	TPI1
Post_P7	Responder	lo	10	4.774	4.69	0.6	CCR5	TPI1
Post_P8	Responder	hi	17	1.59058823529412	0	0.176470588235294	CCR5	TPI1
Post_P8	Responder	lo	17	2.54588235294118	0	0.352941176470588	CCR5	TPI1
Post_P10	Non-responder	hi	27	3.14222222222222	0	0.407407407407407	CCR5	TPI1
Post_P10	Non-responder	lo	27	1.91740740740741	0	0.259259259259259	CCR5	TPI1
Post_P11	Non-responder	hi	14	3.14785714285714	0	0.357142857142857	CCR5	TPI1
Post_P11	Non-responder	lo	14	2.78142857142857	0	0.357142857142857	CCR5	TPI1
Post_P12	Non-responder	hi	28	5.67321428571429	7.575	0.642857142857143	CCR5	TPI1
