direction	partner	pathway	n_LR	raw_sum_hi	raw_sum_lo	raw_delta_sum	raw_mean_hi	raw_mean_lo	raw_delta_mean	n_sig_hi	n_sig_lo	threshold_sum_hi	threshold_sum_lo	threshold_delta	threshold_effect	raw_relative_pct	netP_hi	netP_lo	netP_delta	error_hi	error_lo
Incoming_partner_to_CD4	Plasma	CNTN	7	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	COLLAGEN	187	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	COMPLEMENT	7	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	CRH	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	CSF	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	CSF3	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	CSPG4	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	CTSG	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	CX3C	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	CXCL	22	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	CypA	1	0.0628110832364938	0.0606174886147172	0.00219359462177657	0.0628110832364938	0.0606174886147172	0.00219359462177657	0	0	0	0	0	-0.00219359462177657	3.55443571755959	0	0	0	0	0
Incoming_partner_to_CD4	Plasma	DESMOSOME	11	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	DMP1	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	DSPP	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	EDN	5	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	EGF	18	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	ENHO	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	EPGN	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	EPHA	32	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	EPHB	16	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	EPO	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	ESAM	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	FASLG	1	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	FGF	46	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	FLRT	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	FLT3	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	FN1	13	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	FSH	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	GALANIN	6	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	GALECTIN	5	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	GAP	4	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	GAS	3	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	GCG	3	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	GDF	6	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	GDNF	5	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	GH	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	GHRELIN	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	GHRH	4	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	GIPR	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	GITRL	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	GNRH	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	GP1BA	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	GPR	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	GRN	1	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	GRP	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	GUCA	2	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	HCRT	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	HGF	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	HH	6	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	HSPG	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	IAPP	6	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	ICAM	8	0.201779458733993	0.199261811453555	0.00251764728043835	0.0252224323417491	0.0249077264316943	0.000314705910054794	4	4	0.201779458733993	0.199261811453555	0.00251764728043835	-1.73472347597681e-18	1.25555520969748	0.201779458733993	0.199261811453555	0.00251764728043835	0	0
Incoming_partner_to_CD4	Plasma	ICOS	3	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	IFN-I	17	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	IFN-II	1	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Incoming_partner_to_CD4	Plasma	IGF	8	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	IGFBP	1	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	IL1	10	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	IL10	8	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	IL12	3	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	IL16	1	0.0361194907599737	0	0.0361194907599737	0.0361194907599737	0	0.0361194907599737	1	0	0.0361194907599737	0	0.0361194907599737	0	200	0.0361194907599737	0	0.0361194907599737	0	0
Incoming_partner_to_CD4	Plasma	IL17	6	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	IL2	8	0	0	0	0	0	0	0	0	0	0	0	0						
Incoming_partner_to_CD4	Plasma	IL4	10	0	0	0	0	0	0	0	0	0	0	0	0						
