cell	sample	grp	match_pair	nFeature	Glyco
E11_P1_M90-7-31-17	Post_P30	lo	Post_P30__7__1	1491	0.259730098146127
E11_P3_M45_L001	Post_P18	lo	Post_P18__12__1	2523	0.815045438022542
E11_P6_M68_L001	Post_P23_2	lo	Post_P23_2__15__1	3185	-0.404845510723367
E12_P5_M67_L001_T_enriched	Post_P6	hi	Post_P6__11__1	2313	3.47897219193021
E1_P1_M71_L001	Post_P12	lo	Post_P12__7__1	1502	-0.0273118865866961
E1_P2_M83_L001	Post_P23	hi	Post_P23__13__1	2634	2.49868865866957
E1_P9_M47_T_enriched	Post_P4	hi	Post_P4__15__3	3184	1.72124681933842
E2_P3_M13_L001	Post_P15	hi	Post_P15__9__1	1871	3.65166212286441
E2_P4_M43_L001	Post_P14	lo	Post_P14__10__3	2151	0.563642311886584
E2_P8_M47_T_enriched	Post_P4	lo	Post_P4__11__4	2398	-0.958981279534715
E3_P2_M43_L001	Post_P14	lo	Post_P14__9__1	1843	-1.54832151944747
E3_P3_MMD5_L001	Post_P8	hi	Post_P8__11__2	2267	3.13721101417667
E3_P4_MMD1-84A_L001	Post_P5	lo	Post_P5__6__1	1305	-0.771045983278808
E3_P5_M47_L001	Post_P4	hi	Post_P4__16__2	3332	1.75839694656489
E5_P4_M13_L001	Post_P15	lo	Post_P15__9__5	1963	1.80123318793166
E5_P5_M74_L001	Post_P13	lo	Post_P13__8__3	1663	0.556817520901491
E6_P1_M68_L001	Post_P23_2	hi	Post_P23_2__15__1	3190	2.69482551799345
E6_P8_MMD5_T_enriched	Post_P8	lo	Post_P8__11__2	2305	0.704019447473645
E7_P1_M44_L001	Post_P11	hi	Post_P11__8__1	1641	4.44057797164668
E7_P1_M89_L001	Post_P28_2	lo	Post_P28_2__15__4	3102	1.25970101781171
E7_P2_M47	Post_P4	lo	Post_P4__10__1	2003	-0.5045110868775
E7_P4_MMD7_L001	Post_P19	hi	Post_P19__10__1	2015	2.6992693565976
E7_P5_M89_L001	Post_P28_2	hi	Post_P28_2__17__1	3515	3.77266448564159
E7_P8_M47_T_enriched	Post_P4	lo	Post_P4__16__2	3295	0.617059251181386
E8_P1_M43_L001	Post_P14	lo	Post_P14__10__2	2115	1.31717011995638
E8_P4_M23	Post_P3	lo	Post_P3__12__2	2448	1.33946928389677
E9_P1_M55_L001	Post_P1_2	lo	Post_P1_2__15__3	3122	0.744919120319881
E9_P6_MMD2-36B_L001	Post_P10	lo	Post_P10__13__4	2703	0.0780198109778243
F10_P1_MMD1-84A_L001	Post_P5	hi	Post_P5__7__1	1584	2.83806615776082
F10_P4_M23	Post_P3	hi	Post_P3__11__1	2236	2.43296982915303
F10_P8_MMD2-36B_L001	Post_P10	hi	Post_P10__13__4	2716	3.29648037077427
F10_P9_MMD2-36B_L001	Post_P10	lo	Post_P10__9__6	1938	0.467048346055983
F11_P3_M23	Post_P3	lo	Post_P3__9__1	1903	-0.11161032351872
F11_P4_M89_L001	Post_P28_2	hi	Post_P28_2__12__2	2487	2.98143765903308
F12_P1_MMD7_L001	Post_P19	hi	Post_P19__9__3	1858	2.39695110868775
F12_P4_M44_L001	Post_P11	lo	Post_P11__8__5	1788	-0.401132315521626
F1_P1_M51_L001	Post_P21	lo	Post_P21__9__7	1965	-0.215719738276994
F1_P3_M39	Post_P2	hi	Post_P2__20__1	4030	3.93850418029807
F1_P4_MMD1-84B_L001	Post_P5_2	lo	Post_P5_2__10__2	2122	0.413433296982916
F2_P2_MMD6_L001	Post_P22	lo	Post_P22__7__1	1452	0.455172664485642
F2_P4_M23	Post_P3	lo	Post_P3__15__1	3020	1.28379043984006
F3_P4_M45_L001	Post_P18	lo	Post_P18__9__5	1902	0.545537986186844
F3_P4_M89_L001	Post_P28_2	lo	Post_P28_2__17__1	3478	1.97874409305707
F3_P7_MMD9_L001_myeloid_enriched	Post_P17	hi	Post_P17__6__15	1394	1.38119320247183
F4_P1_M43_L001	Post_P14	hi	Post_P14__10__2	2141	3.42452471828426
F4_P4_M55_L001	Post_P1_2	hi	Post_P1_2__13__3	2764	3.26900308978553
F4_P9_MMD2-36B_L001	Post_P10	lo	Post_P10__13__6	2767	1.17743275172664
F5_P3_M43_L001	Post_P14	hi	Post_P14__9__1	1831	3.1759850963286
F6_P9_MMD2-36B_L001	Post_P10	lo	Post_P10__15__1	3094	0.801003271537622
F7_P1_M74_L001	Post_P13	hi	Post_P13__10__1	2066	3.22858142493639
F7_P5_MMD9_L001	Post_P17	lo	Post_P17__6__15	1384	-0.114820974191202
F8_P2_M83_L001	Post_P23	lo	Post_P23__13__1	2623	1.61486368593239
F8_P5_M47_L001	Post_P4	hi	Post_P4__10__1	2072	3.8955461650309
G10_P1_M43_L001	Post_P14	hi	Post_P14__12__1	2474	2.61867866230462
G10_P1_M47	Post_P4	lo	Post_P4__15__3	3130	-0.0126844783714981
G10_P1_M90-7-31-17	Post_P30	hi	Post_P30__7__1	1514	3.65718920392585
G11_P2_MMD7_L001	Post_P19	hi	Post_P19__9__4	1876	2.63143311523082
G12_P2_M90-7-24-17	Post_P30	lo	Post_P30__11__4	2330	1.23776354053072
G12_P4_MMD7_L001	Post_P19	lo	Post_P19__10__1	2012	-0.368056161395852
G12_P5_M67_L001_T_enriched	Post_P6	lo	Post_P6__16__3	3346	1.73887586332242
G12_P5_M74_L001	Post_P13	hi	Post_P13__7__2	1566	2.01047800799709
G12_P9_MMD2-36B_L001	Post_P10	lo	Post_P10__9__2	1833	1.35704471101418
G1_P1_M67_L001	Post_P6	hi	Post_P6__12__2	2582	3.97650399854599
G1_P2_M23	Post_P3	lo	Post_P3__10__3	2125	-0.172421846601237
G1_P2_M51_L001	Post_P21	hi	Post_P21__9__1	1813	2.51025354416576
