cell	glyco_grp	tpi1_grp
E10_P3_M23	lo	lo
E10_P3_MMD7_L001	hi	hi
E10_P4_M39	lo	hi
E10_P4_M55_L001	hi	hi
E10_P4_MMD1-84A_L001	lo	hi
E10_P6_M15	lo	lo
E10_P8_M47_T_enriched	hi	lo
E11_P1_M15	hi	hi
E11_P1_M23	hi	hi
E11_P1_M39	lo	hi
E11_P1_M47	hi	lo
E11_P1_M51_L001	lo	lo
E11_P1_M89_L001	hi	lo
E11_P4_M71_L001	lo	hi
E11_P6_M68_L001	lo	lo
E12_P1_M15	hi	lo
E12_P2_M15	lo	hi
E12_P3_M79_L001	hi	lo
E12_P4_MMD1-84A_L001	hi	lo
E1_P1_M51_L001	hi	lo
E1_P1_M74_L001	hi	lo
E1_P1_M90-7-31-17	hi	hi
E1_P1_MMD9_L001	lo	hi
E1_P2_M43_L001	hi	hi
E1_P2_M47	lo	hi
E1_P2_M83_L001	hi	lo
E1_P3_M39	hi	lo
E1_P4_M71_L001	hi	hi
E1_P5_MMD8_L001	hi	lo
E1_P9_M47_T_enriched	hi	hi
E2_P1_M51_L001	lo	hi
E2_P1_MMD1-84A_L001	hi	hi
E2_P2_M47	hi	lo
E2_P3_M13_L001	hi	lo
E2_P3_M55_L001	lo	lo
E2_P4_M43_L001	lo	lo
E2_P4_M44_L001	hi	hi
E2_P4_M74_L001	hi	hi
E2_P4_M79_L001	lo	lo
E2_P4_MMD7_L001	hi	hi
E2_P8_M47_T_enriched	lo	lo
E3_P10_MMD2-36B_L001	hi	lo
E3_P1_M15	hi	hi
E3_P1_M89_L001	hi	hi
E3_P1_M90-7-24-17	hi	lo
E3_P3_MMD5_L001	hi	lo
E3_P4_MMD1-84B_L001	lo	lo
E3_P5_M47_L001	hi	hi
E4_P2_M79_L001	hi	lo
E4_P4_M71_L001	hi	hi
E4_P9_M36_L001	lo	hi
E5_P1_M51_L001	lo	hi
E5_P1_MMD1-84B_L001	hi	lo
E5_P2_M83_L001	lo	hi
E5_P3_M43_L001	hi	hi
E5_P3_M74_L001	hi	hi
E5_P3_MMD1-84B_L001	lo	hi
E5_P4_M79_L001	hi	hi
E5_P5_M74_L001	lo	hi
E5_P7_M47_T_enriched	hi	hi
E5_P8_MMD2-36B_L001	lo	lo
E6_P1_M39	hi	lo
E6_P1_M68_L001	hi	hi
E6_P1_M83_L001	hi	hi
E6_P3_M89_L001	lo	lo
E6_P4_M67_L001	hi	lo
E6_P8_MMD5_T_enriched	lo	hi
E7_P11_MMD5_L001	hi	lo
E7_P1_M44_L001	hi	lo
E7_P1_M89_L001	lo	hi
E7_P2_M47	lo	lo
E7_P3_M55_L001	hi	hi
E7_P4_M71_L001	hi	hi
E7_P4_M74_L001	lo	lo
E7_P5_M13_L001	lo	lo
E7_P5_M83_L001	hi	hi
E7_P6_M83_L001	hi	hi
E8_P1_M83_L001	hi	hi
E8_P1_M89_L001	lo	lo
E8_P1_MMD1-84B_L001	hi	hi
E8_P2_M90-7-24-17	hi	lo
E8_P3_M13_L001	lo	hi
E8_P4_M23	lo	lo
E8_P4_M79_L001	lo	lo
E8_P7_M36_L001	hi	hi
E9_P1_M55_L001	lo	lo
E9_P1_M71_L001	hi	hi
E9_P3_MMD9_L001	lo	lo
E9_P6_M83_L001	hi	hi
E9_P6_MMD2-36B_L001	lo	lo
F10_P11_MMD5_L001	hi	lo
F10_P1_M15	lo	hi
F10_P1_M71_L001	lo	hi
F10_P1_M90-7-24-17	lo	lo
F10_P2_MMD8_L001	lo	hi
F10_P3_M89_L001	lo	lo
F10_P6_M68_L001	lo	hi
F10_P8_MMD2-36B_L001	hi	hi
F10_P9_MMD2-36B_L001	lo	lo
F11_P1_M55_L001	lo	hi
F11_P2_M23	lo	lo
F11_P4_M89_L001	hi	lo
F11_P4_MMD6_L001	lo	lo
F11_P6_MMD8_L001_T_enriched	lo	lo
F11_P8_M63-B1	lo	hi
F12_P1_M44_L001	hi	hi
F12_P1_M45_L001	hi	lo
F12_P4_M44_L001	lo	hi
F12_P4_MMD8_L001	hi	hi
F1_P1_M51_L001	lo	hi
F1_P4_MMD1-84B_L001	lo	hi
F1_P5_M74_L001	lo	hi
F1_P9_M36_L001	hi	lo
F2_P2_M83_L001	hi	hi
F2_P2_MMD6_L001	lo	hi
F2_P3_M45_L001	hi	lo
F2_P3_M67_L001	lo	lo
F2_P3_M79_L001	lo	lo
F2_P4_M43_L001	hi	hi
F2_P4_M55_L001	hi	lo
F2_P5_MMD9_L001	lo	lo
F3_P1_MMD1-84B_L001	hi	hi
F3_P3_MMD9_L001	hi	hi
F3_P4_M13_L001	lo	hi
F3_P4_M45_L001	lo	hi
F3_P6_M36_L001	hi	hi
F4_P1_M43_L001	hi	hi
F4_P1_M71_L001	hi	lo
F4_P2_MMD1-84B_L001	hi	hi
F4_P3_M71_L001	hi	hi
F4_P5_M68_L001	hi	hi
F4_P9_MMD2-36B_L001	lo	hi
F5_P2_M47	lo	hi
F5_P2_MMD1-84B_L001	lo	hi
F5_P2_MMD9_L001	hi	hi
F5_P3_M43_L001	hi	lo
