gene	SYMBOL	profile	cell	time	category	near	MR_OR	MR_p	PP_H4	PP_H3	ratio	b_SMR	p_SMR	p_HEIDI	nsnp_HEIDI
ENSG00000258315	C17orf49	CD4_Memory_stim_40h	Memory	40h	痣数目通路	TP53	0.92212564276815	0.0231708650077268	0.149275766701921	0.0348850179152752	0.810573038186232	-0.0662468	6.405458e-02	3.282006e-01	9
ENSG00000170291	ELP5	CD4_Memory_stim_40h	Memory	40h	痣数目通路	TP53	0.92607129879564	0.00408307819922474	0.362607662432128	0.0263381957864474	0.932283130852505	-0.076684	5.088753e-03	6.894025e-01	7
ENSG00000167543	TP53I13	CD4_Memory_stim_40h	Memory	40h	潜在新位点		0.88301204739849	0.0416033664301209	0.0819045868772227	0.00993358912209735	0.891835949331453	-0.152206	2.178806e-02	1.324225e-01	4
ENSG00000141560	FN3KRP	CD4_Memory_stim_40h	Memory	40h	潜在新位点		0.91586439540808	0.0433075500951231	0.0692244020354602	0.0449360078152687	0.606378359415274	-0.087237	5.085278e-02	8.155428e-01	20
ENSG00000174837	ADGRE1	CD4_Memory_stim_40h	Memory	40h	潜在新位点		0.921331868119078	0.00327490629346148	0.339736390603429	0.0164944302547515	0.953697352140908	-0.078156	8.934117e-03	6.028687e-01	14
ENSG00000197134	ZNF257	CD4_Memory_stim_40h	Memory	40h	潜在新位点		1.05683055209443	0.034150115237535	0.0204117586166795	0.768525125597369	0.0258724861584003	0.0552744	4.540865e-02	9.360439e-01	20
ENSG00000090621	PABPC4	CD4_Memory_stim_5d	Memory	5d	潜在新位点		0.904917575949389	0.043278432523663	0.08724702791914	0.0316769161499078	0.733637188054274	-0.0999114	5.556056e-02	5.601862e-01	16
ENSG00000164008	C1orf50	CD4_Memory_stim_5d	Memory	5d	潜在新位点		1.0521335023683	0.00894698976905607	0.176465996246085	0.118909912365207	0.59742853462809	0.0492966	1.618357e-02	9.632385e-01	20
ENSG00000097046	CDC7	CD4_Memory_stim_5d	Memory	5d	潜在新位点		1.08366041925546	0.0255629746578607	0.0904312554367764	0.0211295114954621	0.810600876307206	0.0837797	3.169369e-02	4.671103e-01	15
ENSG00000085491	SLC25A24	CD4_Memory_stim_5d	Memory	5d	潜在新位点		0.898863247633558	0.0132960763226812	0.149587184179052	0.0178267261587652	0.893517055286544	-0.106624	2.399346e-02	3.346630e-01	20
ENSG00000168765	GSTM4	CD4_Memory_stim_5d	Memory	5d	潜在新位点		0.955762390399241	0.00720693861789789	0.259739665200219	0.0134854961379336	0.950643286028685	-0.0461874	1.004250e-02	4.378222e-01	15
