direction	partner	interaction_name	pathway	prob_hi	prob_lo	pval_hi	pval_lo	delta_prob
Outgoing_CD4_to_partner	B	NODAL_ACVR1C_ACVR2B	NODAL	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF1_ACVR1B_ACVR2A	NODAL	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF1_ACVR1B_ACVR2B	NODAL	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF1_ACVR1C_ACVR2A	NODAL	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF1_ACVR1C_ACVR2B	NODAL	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF3_ACVR1B_ACVR2A	NODAL	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF3_ACVR1B_ACVR2B	NODAL	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF3_ACVR1C_ACVR2A	NODAL	0	0	1	1	0
Outgoing_CD4_to_partner	B	GDF3_ACVR1C_ACVR2B	NODAL	0	0	1	1	0
Outgoing_CD4_to_partner	B	INHBA_ACVR1B_ACVR2A	ACTIVIN	0	0	1	1	0
Outgoing_CD4_to_partner	B	INHBA_ACVR1B_ACVR2B	ACTIVIN	0	0	1	1	0
Outgoing_CD4_to_partner	B	INHBB_ACVR1B_ACVR2A	ACTIVIN	0	0	1	1	0
Outgoing_CD4_to_partner	B	INHBB_ACVR1B_ACVR2B	ACTIVIN	0	0	1	1	0
Outgoing_CD4_to_partner	B	INHBB_ACVR1C_ACVR2A	ACTIVIN	0	0	1	1	0
Outgoing_CD4_to_partner	B	INHBB_ACVR1C_ACVR2B	ACTIVIN	0	0	1	1	0
Outgoing_CD4_to_partner	B	INHBC_ACVR1B_ACVR2A	ACTIVIN	0	0	1	1	0
Outgoing_CD4_to_partner	B	INHBC_ACVR1B_ACVR2B	ACTIVIN	0	0	1	1	0
Outgoing_CD4_to_partner	B	INHBC_ACVR1C_ACVR2A	ACTIVIN	0	0	1	1	0
Outgoing_CD4_to_partner	B	INHBC_ACVR1C_ACVR2B	ACTIVIN	0	0	1	1	0
Outgoing_CD4_to_partner	B	INHBE_ACVR1B_ACVR2A	ACTIVIN	0	0	1	1	0
Outgoing_CD4_to_partner	B	INHBE_ACVR1B_ACVR2B	ACTIVIN	0	0	1	1	0
Outgoing_CD4_to_partner	B	INHBE_ACVR1C_ACVR2A	ACTIVIN	0	0	1	1	0
Outgoing_CD4_to_partner	B	INHBE_ACVR1C_ACVR2B	ACTIVIN	0	0	1	1	0
Outgoing_CD4_to_partner	B	INHBABB_ACVR1B_ACVR2A	ACTIVIN	0	0	1	1	0
Outgoing_CD4_to_partner	B	INHBABB_ACVR1B_ACVR2B	ACTIVIN	0	0	1	1	0
Outgoing_CD4_to_partner	B	INHBABB_ACVR1C_ACVR2A	ACTIVIN	0	0	1	1	0
Outgoing_CD4_to_partner	B	INHB_ACVR1C_ACVR2B	ACTIVIN	0	0	1	1	0
Outgoing_CD4_to_partner	B	INHABA_ACVR2A	ACTIVIN	0	0	1	1	0
Outgoing_CD4_to_partner	B	INHABB_ACVR2B	ACTIVIN	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT1_FZD1_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT1_FZD10_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT1_FZD2_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT1_FZD3_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT1_FZD4_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT1_FZD5_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT1_FZD6_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT1_FZD7_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT1_FZD8_LRP5	WNT	0	0	1	1	0
Outgoing_CD4_to_partner	B	WNT1_FZD9_LRP5	WNT	0	0	1	1	0
