list_name	bg_loci	bg_known	sig_loci	sig_known	fold	fisher_p	cell	swept	kb	relation
melanoma	646	15	2	0	0	1	HCC_high x Soskic_CD4	known_kb	100	unrelated control
HCC	646	8	2	0	0	1	HCC_high x Soskic_CD4	known_kb	100	own outcome
colorectal	646	49	2	1	6.59	0.146058031535748	HCC_high x Soskic_CD4	known_kb	100	unrelated control
prostate	646	72	2	1	4.49	0.210641514867881	HCC_high x Soskic_CD4	known_kb	100	unrelated control
breast	646	52	2	1	6.21	0.154625962992296	HCC_high x Soskic_CD4	known_kb	100	unrelated control
lung	646	23	2	0	0	1	HCC_high x Soskic_CD4	known_kb	100	unrelated control
RA	646	17	2	0	0	1	HCC_high x Soskic_CD4	known_kb	100	unrelated control
melanoma	1093	103	2	0	0	1	HCC_high x Soskic_CD4	locus_kb	100	unrelated control
HCC	1093	81	2	1	6.75	0.142786764927662	HCC_high x Soskic_CD4	locus_kb	100	own outcome
colorectal	1093	324	2	1	1.69	0.505182831806803	HCC_high x Soskic_CD4	locus_kb	100	unrelated control
prostate	1093	427	2	1	1.28	0.628932366809768	HCC_high x Soskic_CD4	locus_kb	100	unrelated control
breast	1093	301	2	1	1.82	0.475121401928355	HCC_high x Soskic_CD4	locus_kb	100	unrelated control
lung	1093	123	2	0	0	1	HCC_high x Soskic_CD4	locus_kb	100	unrelated control
RA	1093	112	2	0	0	1	HCC_high x Soskic_CD4	locus_kb	100	unrelated control
melanoma	646	30	2	0	0	1	HCC_high x Soskic_CD4	known_kb	250	unrelated control
HCC	646	18	2	1	17.94	0.0549931600547195	HCC_high x Soskic_CD4	known_kb	250	own outcome
colorectal	646	84	2	1	3.85	0.243329253365973	HCC_high x Soskic_CD4	known_kb	250	unrelated control
prostate	646	131	2	1	2.47	0.364701082391341	HCC_high x Soskic_CD4	known_kb	250	unrelated control
breast	646	87	2	1	3.71	0.251393188854489	HCC_high x Soskic_CD4	known_kb	250	unrelated control
lung	646	34	2	0	0	1	HCC_high x Soskic_CD4	known_kb	250	unrelated control
RA	646	37	2	0	0	1	HCC_high x Soskic_CD4	known_kb	250	unrelated control
melanoma	923	92	2	0	0	1	HCC_high x Soskic_CD4	locus_kb	250	unrelated control
HCC	923	61	2	1	7.57	0.127876889234624	HCC_high x Soskic_CD4	locus_kb	250	own outcome
colorectal	923	266	2	1	1.73	0.493549986721598	HCC_high x Soskic_CD4	locus_kb	250	unrelated control
prostate	923	358	2	1	1.29	0.625549056058359	HCC_high x Soskic_CD4	locus_kb	250	unrelated control
breast	923	254	2	1	1.82	0.474866217159456	HCC_high x Soskic_CD4	locus_kb	250	unrelated control
lung	923	95	2	0	0	1	HCC_high x Soskic_CD4	locus_kb	250	unrelated control
RA	923	90	2	0	0	1	HCC_high x Soskic_CD4	locus_kb	250	unrelated control
melanoma	646	45	2	0	0	1	HCC_high x Soskic_CD4	known_kb	500	unrelated control
HCC	646	23	2	1	14.04	0.0699930400556795	HCC_high x Soskic_CD4	known_kb	500	own outcome
colorectal	646	133	2	1	2.43	0.369630642954856	HCC_high x Soskic_CD4	known_kb	500	unrelated control
prostate	646	185	2	1	1.75	0.491060071519428	HCC_high x Soskic_CD4	known_kb	500	unrelated control
breast	646	127	2	1	2.54	0.354784361725107	HCC_high x Soskic_CD4	known_kb	500	unrelated control
lung	646	48	2	0	0	1	HCC_high x Soskic_CD4	known_kb	500	unrelated control
RA	646	45	2	0	0	1	HCC_high x Soskic_CD4	known_kb	500	unrelated control
melanoma	785	76	2	0	0	1	HCC_high x Soskic_CD4	locus_kb	500	unrelated control
HCC	785	49	2	1	8.01	0.121019108280255	HCC_high x Soskic_CD4	locus_kb	500	own outcome
colorectal	785	222	2	1	1.77	0.485886520213181	HCC_high x Soskic_CD4	locus_kb	500	unrelated control
prostate	785	307	2	1	1.28	0.629523592876641	HCC_high x Soskic_CD4	locus_kb	500	unrelated control
breast	785	213	2	1	1.84	0.469303262706356	HCC_high x Soskic_CD4	locus_kb	500	unrelated control
lung	785	81	2	0	0	1	HCC_high x Soskic_CD4	locus_kb	500	unrelated control
RA	785	82	2	0	0	1	HCC_high x Soskic_CD4	locus_kb	500	unrelated control
melanoma	646	65	2	0	0	1	HCC_high x Soskic_CD4	known_kb	1000	unrelated control
HCC	646	41	2	1	7.88	0.122999016007872	HCC_high x Soskic_CD4	known_kb	1000	own outcome
colorectal	646	195	2	1	1.66	0.512923896608827	HCC_high x Soskic_CD4	known_kb	1000	unrelated control
prostate	646	261	2	1	1.24	0.645186838505292	HCC_high x Soskic_CD4	known_kb	1000	unrelated control
breast	646	185	2	1	1.75	0.491060071519428	HCC_high x Soskic_CD4	known_kb	1000	unrelated control
lung	646	68	2	0	0	1	HCC_high x Soskic_CD4	known_kb	1000	unrelated control
RA	646	66	2	0	0	1	HCC_high x Soskic_CD4	known_kb	1000	unrelated control
melanoma	646	65	2	0	0	1	HCC_high x Soskic_CD4	locus_kb	1000	unrelated control
HCC	646	41	2	1	7.88	0.122999016007872	HCC_high x Soskic_CD4	locus_kb	1000	own outcome
colorectal	646	195	2	1	1.66	0.512923896608827	HCC_high x Soskic_CD4	locus_kb	1000	unrelated control
prostate	646	261	2	1	1.24	0.645186838505292	HCC_high x Soskic_CD4	locus_kb	1000	unrelated control
breast	646	185	2	1	1.75	0.491060071519428	HCC_high x Soskic_CD4	locus_kb	1000	unrelated control
lung	646	68	2	0	0	1	HCC_high x Soskic_CD4	locus_kb	1000	unrelated control
RA	646	66	2	0	0	1	HCC_high x Soskic_CD4	locus_kb	1000	unrelated control
melanoma	1666	69	5	0	0	1	HCC_high x eQTLGen_blood	known_kb	100	unrelated control
HCC	1666	37	5	2	18.01	0.00460299796303263	HCC_high x eQTLGen_blood	known_kb	100	own outcome
colorectal	1666	184	5	1	1.81	0.44340184798659	HCC_high x eQTLGen_blood	known_kb	100	unrelated control
prostate	1666	292	5	2	2.28	0.212828347231516	HCC_high x eQTLGen_blood	known_kb	100	unrelated control
breast	1666	191	5	4	6.98	0.000764323951345432	HCC_high x eQTLGen_blood	known_kb	100	unrelated control
lung	1666	66	5	1	5.05	0.183197235442862	HCC_high x eQTLGen_blood	known_kb	100	unrelated control
RA	1666	61	5	0	0	1	HCC_high x eQTLGen_blood	known_kb	100	unrelated control
melanoma	5957	565	8	0	0	1	HCC_high x eQTLGen_blood	locus_kb	100	unrelated control
HCC	5957	308	8	5	12.09	1.76177221536019e-05	HCC_high x eQTLGen_blood	locus_kb	100	own outcome
colorectal	5957	1618	8	6	2.76	0.00659555937710665	HCC_high x eQTLGen_blood	locus_kb	100	unrelated control
prostate	5957	2161	8	6	2.07	0.0303392655333694	HCC_high x eQTLGen_blood	locus_kb	100	unrelated control
breast	5957	1547	8	7	3.37	0.000488015593651415	HCC_high x eQTLGen_blood	locus_kb	100	unrelated control
lung	5957	499	8	1	1.49	0.503566985591643	HCC_high x eQTLGen_blood	locus_kb	100	unrelated control
RA	5957	524	8	1	1.42	0.521480341698447	HCC_high x eQTLGen_blood	locus_kb	100	unrelated control
melanoma	1666	97	5	0	0	1	HCC_high x eQTLGen_blood	known_kb	250	unrelated control
HCC	1666	44	5	3	22.72	0.0001658529053846	HCC_high x eQTLGen_blood	known_kb	250	own outcome
colorectal	1666	261	5	3	3.83	0.0297646774105897	HCC_high x eQTLGen_blood	known_kb	250	unrelated control
prostate	1666	374	5	3	2.67	0.0781569176922108	HCC_high x eQTLGen_blood	known_kb	250	unrelated control
breast	1666	262	5	4	5.09	0.0026270064338432	HCC_high x eQTLGen_blood	known_kb	250	unrelated control
lung	1666	91	5	1	3.66	0.245121754209128	HCC_high x eQTLGen_blood	known_kb	250	unrelated control
RA	1666	82	5	1	4.06	0.223277827819552	HCC_high x eQTLGen_blood	known_kb	250	unrelated control
melanoma	3899	364	8	0	0	1	HCC_high x eQTLGen_blood	locus_kb	250	unrelated control
HCC	3899	192	8	6	15.23	3.40684311271301e-07	HCC_high x eQTLGen_blood	locus_kb	250	own outcome
colorectal	3899	1050	8	6	2.79	0.00627977947946776	HCC_high x eQTLGen_blood	locus_kb	250	unrelated control
prostate	3899	1386	8	6	2.11	0.0272947757501474	HCC_high x eQTLGen_blood	locus_kb	250	unrelated control
breast	3899	1020	8	7	3.34	0.00051022355550289	HCC_high x eQTLGen_blood	locus_kb	250	unrelated control
lung	3899	322	8	1	1.51	0.498530517320646	HCC_high x eQTLGen_blood	locus_kb	250	unrelated control
RA	3899	340	8	1	1.43	0.518385366801783	HCC_high x eQTLGen_blood	locus_kb	250	unrelated control
melanoma	1666	126	5	0	0	1	HCC_high x eQTLGen_blood	known_kb	500	unrelated control
HCC	1666	58	5	3	17.23	0.000381456564718373	HCC_high x eQTLGen_blood	known_kb	500	own outcome
colorectal	1666	358	5	3	2.79	0.0696987664099832	HCC_high x eQTLGen_blood	known_kb	500	unrelated control
prostate	1666	477	5	3	2.1	0.14513058894102	HCC_high x eQTLGen_blood	known_kb	500	unrelated control
breast	1666	357	5	4	3.73	0.00863589182559238	HCC_high x eQTLGen_blood	known_kb	500	unrelated control
lung	1666	117	5	1	2.85	0.305479873601368	HCC_high x eQTLGen_blood	known_kb	500	unrelated control
RA	1666	105	5	1	3.17	0.278121915982683	HCC_high x eQTLGen_blood	known_kb	500	unrelated control
melanoma	2606	249	6	0	0	1	HCC_high x eQTLGen_blood	locus_kb	500	unrelated control
HCC	2606	136	6	4	12.77	9.81891288291233e-05	HCC_high x eQTLGen_blood	locus_kb	500	own outcome
colorectal	2606	739	6	4	2.35	0.0579757805726461	HCC_high x eQTLGen_blood	locus_kb	500	unrelated control
prostate	2606	949	6	4	1.83	0.133147205241823	HCC_high x eQTLGen_blood	locus_kb	500	unrelated control
breast	2606	696	6	5	3.12	0.00628145037587878	HCC_high x eQTLGen_blood	locus_kb	500	unrelated control
lung	2606	227	6	1	1.91	0.421529378569255	HCC_high x eQTLGen_blood	locus_kb	500	unrelated control
RA	2606	235	6	1	1.85	0.433115313267251	HCC_high x eQTLGen_blood	locus_kb	500	unrelated control
melanoma	1666	180	5	0	0	1	HCC_high x eQTLGen_blood	known_kb	1000	unrelated control
HCC	1666	92	5	3	10.87	0.00150414083167835	HCC_high x eQTLGen_blood	known_kb	1000	own outcome
colorectal	1666	510	5	3	1.96	0.170958182901946	HCC_high x eQTLGen_blood	known_kb	1000	unrelated control
prostate	1666	634	5	3	1.58	0.284171207100982	HCC_high x eQTLGen_blood	known_kb	1000	unrelated control
breast	1666	493	5	4	2.7	0.0290650436254836	HCC_high x eQTLGen_blood	known_kb	1000	unrelated control
lung	1666	155	5	1	2.15	0.386690884292845	HCC_high x eQTLGen_blood	known_kb	1000	unrelated control
RA	1666	163	5	1	2.04	0.40277679767851	HCC_high x eQTLGen_blood	known_kb	1000	unrelated control
melanoma	1666	180	5	0	0	1	HCC_high x eQTLGen_blood	locus_kb	1000	unrelated control
HCC	1666	92	5	3	10.87	0.00150414083167835	HCC_high x eQTLGen_blood	locus_kb	1000	own outcome
colorectal	1666	510	5	3	1.96	0.170958182901946	HCC_high x eQTLGen_blood	locus_kb	1000	unrelated control
prostate	1666	634	5	3	1.58	0.284171207100982	HCC_high x eQTLGen_blood	locus_kb	1000	unrelated control
breast	1666	493	5	4	2.7	0.0290650436254836	HCC_high x eQTLGen_blood	locus_kb	1000	unrelated control
lung	1666	155	5	1	2.15	0.386690884292845	HCC_high x eQTLGen_blood	locus_kb	1000	unrelated control
RA	1666	163	5	1	2.04	0.40277679767851	HCC_high x eQTLGen_blood	locus_kb	1000	unrelated control
melanoma	641	15	41	4	4.17	0.0117794146678062	RA x Soskic_CD4	known_kb	100	unrelated control
HCC	641	8	41	3	5.86	0.0108821464176367	RA x Soskic_CD4	known_kb	100	unrelated control
colorectal	641	50	41	10	3.13	0.000593042156694439	RA x Soskic_CD4	known_kb	100	unrelated control
prostate	641	69	41	10	2.27	0.00789236203492965	RA x Soskic_CD4	known_kb	100	unrelated control
breast	641	46	41	9	3.06	0.00140334033779475	RA x Soskic_CD4	known_kb	100	unrelated control
lung	641	21	41	9	6.7	1.23288767780958e-06	RA x Soskic_CD4	known_kb	100	unrelated control
RA	641	15	41	7	7.3	1.15277893722951e-05	RA x Soskic_CD4	known_kb	100	own outcome
melanoma	1075	99	57	13	2.48	0.00123435587478625	RA x Soskic_CD4	locus_kb	100	unrelated control
HCC	1075	80	57	18	4.24	2.30808385071925e-08	RA x Soskic_CD4	locus_kb	100	unrelated control
colorectal	1075	326	57	33	1.91	8.26940077523183e-06	RA x Soskic_CD4	locus_kb	100	unrelated control
prostate	1075	426	57	35	1.55	0.000530957172016502	RA x Soskic_CD4	locus_kb	100	unrelated control
breast	1075	303	57	27	1.68	0.00121163720145185	RA x Soskic_CD4	locus_kb	100	unrelated control
lung	1075	121	57	26	4.05	1.13049906859563e-11	RA x Soskic_CD4	locus_kb	100	unrelated control
RA	1075	107	57	21	3.7	1.49490590469459e-08	RA x Soskic_CD4	locus_kb	100	own outcome
melanoma	641	31	41	6	3.03	0.0104566659976225	RA x Soskic_CD4	known_kb	250	unrelated control
HCC	641	16	41	5	4.89	0.00216778084409607	RA x Soskic_CD4	known_kb	250	unrelated control
colorectal	641	85	41	16	2.94	1.56552603252101e-05	RA x Soskic_CD4	known_kb	250	unrelated control
prostate	641	123	41	17	2.16	0.000550847572912098	RA x Soskic_CD4	known_kb	250	unrelated control
breast	641	82	41	14	2.67	0.000213069743010852	RA x Soskic_CD4	known_kb	250	unrelated control
lung	641	33	41	11	5.21	1.31192686336381e-06	RA x Soskic_CD4	known_kb	250	unrelated control
RA	641	35	41	14	6.25	1.73718891937902e-09	RA x Soskic_CD4	known_kb	250	own outcome
melanoma	912	88	50	10	2.07	0.0166458879231362	RA x Soskic_CD4	locus_kb	250	unrelated control
HCC	912	61	50	13	3.89	7.77295586592937e-06	RA x Soskic_CD4	locus_kb	250	unrelated control
colorectal	912	271	50	28	1.88	6.00506020990173e-05	RA x Soskic_CD4	locus_kb	250	unrelated control
prostate	912	359	50	30	1.52	0.00194853440694111	RA x Soskic_CD4	locus_kb	250	unrelated control
breast	912	257	50	22	1.56	0.0101115958461524	RA x Soskic_CD4	locus_kb	250	unrelated control
lung	912	93	50	20	3.92	8.05950566570531e-09	RA x Soskic_CD4	locus_kb	250	unrelated control
RA	912	88	50	19	3.94	2.08875907563764e-08	RA x Soskic_CD4	locus_kb	250	own outcome
melanoma	641	46	41	7	2.38	0.0212520490839417	RA x Soskic_CD4	known_kb	500	unrelated control
HCC	641	21	41	6	4.47	0.00125272810462137	RA x Soskic_CD4	known_kb	500	unrelated control
colorectal	641	136	41	17	1.95	0.00193456259836656	RA x Soskic_CD4	known_kb	500	unrelated control
prostate	641	177	41	18	1.59	0.0153141072669536	RA x Soskic_CD4	known_kb	500	unrelated control
