gene_id	SYMBOL	exposure	cell_type	timepoint	category	near_locus	MR_OR	MR_pval	MR_FDR	nsnps	PP.H0	PP.H1	PP.H2	PP.H3	PP.H4	PP4_ratio
ENSG00000204525	HLA-C	ENSG00000204525|CD4_Naive_stim_40h	Naive	40h	潜在新位点	""	1.07778375769282	0.00123991410617952	0.11896148919191	6679	1.88685315750918e-09	0.266282247140063	1.42693194115115e-09	0.200842967473321	0.532874782072832	0.72626671823388
ENSG00000111671	SPSB2	ENSG00000111671|CD4_Naive_uns_0h	Naive	0h	潜在新位点	""	0.951854506872445	0.00444288618786959	0.220050778362388	501	1.06763198828706e-05	0.427896117621886	1.18710109401227e-06	0.0470527736082664	0.525039245348871	0.917753137521411
ENSG00000111671	SPSB2	ENSG00000111671|CD4_Memory_uns_0h	Memory	0h	潜在新位点	""	0.956878451641819	0.000987954020594817	0.10406681564558	501	3.02434662998331e-10	0.432677666518034	3.3627740949255e-11	0.047589741169889	0.519732591976013	0.916115163480353
ENSG00000111669	TPI1	ENSG00000111669|CD4_Naive_stim_16h	Naive	16h	潜在新位点	""	1.30528378999639	0.0014242704019658	0.119232232438671	466	1.10907719981022e-06	0.457092216636865	1.21706118932742e-07	0.049666405810028	0.493240146769788	0.908517578993991
ENSG00000111671	SPSB2	ENSG00000111671|CD4_Naive_stim_40h	Naive	40h	潜在新位点	""	0.930175086936432	0.00444288618786959	0.220050778362388	501	7.05347522210483e-05	0.475240064082549	7.84276627584317e-06	0.0523696791982687	0.472311879200685	0.900187688398897
ENSG00000120071	KANSL1	ENSG00000120071|CD4_Naive_stim_5d	Naive	5d	潜在新位点	""	0.917981084594753	3.60993174278734e-05	0.00987455175180907	1281	4.7735298093821e-06	0.0789287937073907	2.76801956188175e-05	0.457219391390714	0.463819361176467	0.503582894730193
ENSG00000057608	GDI2	ENSG00000057608|CD4_Memory_uns_0h	Memory	0h	痣数目通路	FAM208B;GDI2	0.940626935247147	0.0043149241579632	0.220050778362388	1000	6.7696246898949e-05	0.45915982502594	1.6143309356245e-05	0.109062693993057	0.431693641424749	0.798314533090414
ENSG00000111671	SPSB2	ENSG00000111671|CD4_Memory_stim_16h	Memory	16h	潜在新位点	""	0.932979362984931	0.00165943862238416	0.125552420025491	501	0.000788306193250373	0.516245496029909	8.76518458317828e-05	0.0569754861679303	0.425903059763079	0.882008661084581
ENSG00000120071	KANSL1	ENSG00000120071|CD4_Memory_stim_5d	Memory	5d	潜在新位点	""	0.897885811408019	3.60993174278734e-05	0.00987455175180907	1281	6.34006648062896e-06	0.0845733675213806	3.67640482887931e-05	0.489988921552447	0.425394606811403	0.464717349209627
ENSG00000120071	KANSL1	ENSG00000120071|CD4_Memory_uns_0h	Memory	0h	潜在新位点	""	0.919827719358646	0.000377464397768756	0.0583592781941608	1281	1.1566502792342e-05	0.0853114283034818	6.7070506041119e-05	0.494273761959817	0.420336172727867	0.459579714571329
ENSG00000111671	SPSB2	ENSG00000111671|CD4_Memory_stim_40h	Memory	40h	潜在新位点	""	0.91348960877638	0.00165943862238416	0.125552420025491	501	0.000390969814035126	0.529146399742293	4.34719734008273e-05	0.058423846712286	0.411995311757985	0.875804703825688
ENSG00000057608	GDI2	ENSG00000057608|CD4_Naive_stim_16h	Naive	16h	痣数目通路	FAM208B;GDI2	0.900752525136088	0.00468268009196105	0.220050778362388	1000	0.0155046775306091	0.463334743446221	0.00369735129067147	0.11008258655174	0.407380641180758	0.787264909558661
ENSG00000124588	NQO2	ENSG00000124588|CD4_Naive_uns_0h	Naive	0h	潜在新位点	""	0.958290378602871	0.0138577550278767	0.319254153389817	554	0.0321748768616946	0.500031588540798	0.00398340846234742	0.0615040710787682	0.402306055056392	0.867393858794611
ENSG00000214401	KANSL1-AS1	ENSG00000214401|CD4_Naive_stim_16h	Naive	16h	潜在新位点	""	0.953931004622978	0.000969474349122978	0.10406681564558	1433	3.05077935408018e-17	0.0822348303398152	1.9395779287098e-16	0.522424711030769	0.395340458629417	0.430764286659295
ENSG00000166896	ATP23	ENSG00000166896|CD4_Memory_uns_0h	Memory	0h	潜在新位点	""	1.0558836319623	0.00133334369093052	0.119232232438671	367	0.000229115469160952	0.607950081234877	5.89695224031344e-06	0.0152708175086408	0.376544088835081	0.961025429963493
ENSG00000109861	CTSC	ENSG00000109861|CD4_Memory_uns_0h	Memory	0h	色素/发色通路	TYR	0.920350867554884	0.00431906007657024	0.220050778362388	1391	0.0396765136389677	0.38988253147525	0.0210119980743563	0.206131774572485	0.343297182238942	0.624825426441379
ENSG00000173156	RHOD	ENSG00000173156|CD4_Memory_stim_40h	Memory	40h	潜在新位点	""	1.06175990938258	0.00482676060524923	0.220050778362388	200	0.000926342719999089	0.631622418847858	4.02235572986618e-05	0.0270859179199614	0.340325096954883	0.92627897144241
ENSG00000175334	BANF1	ENSG00000175334|CD4_Naive_stim_16h	Naive	16h	潜在新位点	""	0.845362560460418	0.00127124201048723	0.11896148919191	707	0.00660833672106815	0.589054880017755	0.000756600661999048	0.0671055052014916	0.336474677397687	0.833724478815308
ENSG00000142675	CNKSR1	ENSG00000142675|CD4_Naive_stim_5d	Naive	5d	潜在新位点	""	1.05171828501584	0.00118015867483823	0.116573451325687	958	0.0018839301561556	0.631148963035775	0.000101087087103945	0.0335325771345635	0.333333442586402	0.908597211701242
ENSG00000166896	ATP23	ENSG00000166896|CD4_Memory_stim_40h	Memory	40h	潜在新位点	""	1.12160662682372	0.00147531446212079	0.119232232438671	367	1.3804552923909e-05	0.66067103754972	3.55300275399494e-07	0.0166816554294895	0.322633147167592	0.950837230495664
ENSG00000010626	LRRC23	ENSG00000010626|CD4_Memory_stim_5d	Memory	5d	潜在新位点	""	0.937961746160529	0.0043982132693865	0.220050778362388	537	0.0266537992550053	0.583021789283728	0.00300180344265944	0.0653390803031268	0.321983527715481	0.831305792766975
ENSG00000166896	ATP23	ENSG00000166896|CD4_Memory_stim_16h	Memory	16h	潜在新位点	""	1.05026469135385	0.00147531446212079	0.119232232438671	367	1.88020676996793e-09	0.66268366761606	4.83925837265313e-11	0.0167355086368222	0.320580821818518	0.950386307670811
ENSG00000166896	ATP23	ENSG00000166896|CD4_Naive_stim_5d	Naive	5d	潜在新位点	""	1.0478065257103	0.00147531446212079	0.119232232438671	367	2.92581944052509e-21	0.663730276016907	7.53044635865973e-23	0.0167635207632929	0.319506203219797	0.950148587375842
ENSG00000173156	RHOD	ENSG00000173156|CD4_Naive_stim_40h	Naive	40h	潜在新位点	""	1.06690584603504	0.00482676060524923	0.220050778362388	200	0.365351080195658	0.290158475973276	0.0158642366276625	0.0122828878637099	0.316343319339694	0.962623529120709
ENSG00000177410	ZFAS1	ENSG00000177410|CD4_Naive_stim_5d	Naive	5d	潜在新位点	""	1.09577707552173	0.00505547152736141	0.224040271879575	1018	0.00597672103845751	0.631816854557295	0.000495454604222781	0.0520663266631558	0.309644643136869	0.856055439258751
ENSG00000149489	ROM1	ENSG00000149489|CD4_Naive_stim_40h	Naive	40h	色素/发色通路	AHNAK	1.06511101748057	0.00288743806487379	0.190143143679467	305	0.0262669444607546	0.620364939540778	0.00208411614121804	0.0489196754097299	0.302364324447519	0.860740382625997
ENSG00000263715	CRHR1	ENSG00000263715|CD4_Naive_uns_0h	Naive	0h	潜在新位点	""	0.932748596698672	0.000331725980066699	0.0536189811416901	2312	0.000189419175269467	0.075914141376136	0.00154855915153172	0.620319078810514	0.302028801486548	0.327456492217744
ENSG00000196126	HLA-DRB1	ENSG00000196126|CD4_Memory_stim_16h	Memory	16h	黑色素瘤已知位点	HLA-DQB2	1.05258779090431	0.000497573361175618	0.0593486593254975	6948	9.14380462914688e-13	0.0864804486560601	6.46897925462282e-12	0.611522348325158	0.301997203011398	0.33058646918892
ENSG00000166896	ATP23	ENSG00000166896|CD4_Naive_stim_16h	Naive	16h	潜在新位点	""	1.06898048622764	0.00147531446212079	0.119232232438671	367	0.0122299882554116	0.668948205449708	0.00031477427912601	0.0169157342421669	0.301591297773587	0.946890547015206
ENSG00000176974	SHMT1	ENSG00000176974|CD4_Naive_stim_5d	Naive	5d	潜在新位点	""	0.945446273415434	0.00329106319766315	0.201776219498106	536	1.63392810442926e-14	0.701753767244116	2.98847431481189e-16	0.0125494647243652	0.285696768031501	0.957922470274293
ENSG00000057608	GDI2	ENSG00000057608|CD4_Memory_stim_5d	Memory	5d	痣数目通路	FAM208B;GDI2	0.919571813309964	0.0043149241579632	0.220050778362388	1000	0.000720452489209424	0.581943109328106	0.000171804020792253	0.138495458962835	0.278669175199057	0.668007669823017
ENSG00000175550	DRAP1	ENSG00000175550|CD4_Naive_uns_0h	Naive	0h	潜在新位点	""	0.929538695404341	0.0030401912344723	0.1965621823597	797	0.00364036691816138	0.657554492633354	0.000453590058390356	0.0816746743898345	0.256676876000259	0.75861001879356
ENSG00000176974	SHMT1	ENSG00000176974|CD4_Memory_stim_5d	Memory	5d	潜在新位点	""	0.862422154335314	0.00329106319766315	0.201776219498106	536	0.000911028755145797	0.731478124604017	1.66628263962646e-05	0.0131243537626144	0.254469830051827	0.950954263745451
ENSG00000162613	FUBP1	ENSG00000162613|CD4_Memory_stim_16h	Memory	16h	色素/发色通路	DNAJB4	0.925970139414605	0.000424655940027274	0.0593486593254975	659	0.635325700018017	0.101148757112143	0.01042409705075	0.00140790319755411	0.251693542621536	0.99443739567351
ENSG00000163171	CDC42EP3	ENSG00000163171|CD4_Naive_stim_16h	Naive	16h	痣数目通路	CYP1B1	1.05401114965749	0.0027606663645745	0.190143143679467	1120	0.00022337645640762	0.454102467973615	0.000146197982041961	0.296957614792801	0.248570342795134	0.455650969556526
ENSG00000139428	MMAB	ENSG00000139428|CD4_Memory_stim_5d	Memory	5d	潜在新位点	""	1.05964723094596	0.0287055093451257	0.403999017657495	1220	0.00060391691180821	0.668902010477202	7.4164104880973e-05	0.0818960856261089	0.24852382288	0.752145426114375
ENSG00000141127	PRPSAP2	ENSG00000141127|CD4_Naive_stim_5d	Naive	5d	潜在新位点	""	0.969906340939434	0.0378903261152657	0.443675856226323	382	8.68431959106561e-07	0.744240509214978	1.28343887206009e-08	0.0107539825668289	0.245004626951846	0.957952607784866
ENSG00000163171	CDC42EP3	ENSG00000163171|CD4_Naive_stim_40h	Naive	40h	痣数目通路	CYP1B1	1.06927600332369	0.00464949409713356	0.220050778362388	1120	0.00140239337078749	0.456614296942478	0.000917854478199878	0.298607697975749	0.242457757232785	0.44811169313949
ENSG00000234745	HLA-B	ENSG00000234745|CD4_Naive_stim_40h	Naive	40h	潜在新位点	""	0.940172020248497	0.00398553967566995	0.220050778362388	6231	1.16504732270932e-05	0.451639262753526	7.90978436434856e-06	0.306386721411958	0.241954455576926	0.441248014430678
ENSG00000166272	WBP1L	ENSG00000166272|CD4_Memory_stim_5d	Memory	5d	潜在新位点	""	1.06631320509833	0.00457644477412722	0.220050778362388	942	0.000879719964513054	0.720682642578987	4.63652465165233e-05	0.0377426070653877	0.240648665144596	0.864426040494117
ENSG00000110077	MS4A6A	ENSG00000110077|CD4_Memory_uns_0h	Memory	0h	潜在新位点	""	1.06097817182966	0.0138847403726211	0.319254153389817	1047	1.18986867625205e-09	0.646295927997742	2.13751172541824e-10	0.115864479240724	0.237839591357914	0.672425372304522
ENSG00000176974	SHMT1	ENSG00000176974|CD4_Memory_uns_0h	Memory	0h	潜在新位点	""	0.952543014818163	0.00329106319766315	0.201776219498106	536	0.000475739659933348	0.749709160736027	8.70133606487397e-06	0.013475940996811	0.236330457271164	0.946054460213005
ENSG00000167671	UBXN6	ENSG00000167671|CD4_Memory_stim_16h	Memory	16h	黑色素瘤已知位点	MFSD12	1.04174042701468	0.00561090303038081	0.234733778541578	595	3.32491505704388e-05	0.753397948382887	5.99026728337724e-07	0.0133402167604294	0.233227986679384	0.945896443359998
ENSG00000151150	ANK3	ENSG00000151150|CD4_Naive_stim_40h	Naive	40h	潜在新位点	""	0.934792490010098	0.00384126171294352	0.220050778362388	1015	0.0319476333526903	0.660709818236308	0.00382533164814913	0.0788871510806788	0.224630065682174	0.740090028756703
ENSG00000220205	VAMP2	ENSG00000220205|CD4_Memory_stim_5d	Memory	5d	黑色素瘤已知位点	TP53	1.12709146341644	0.0072778682850243	0.266805150737592	661	0.00036113683221085	0.714300793393891	3.43715625460185e-05	0.0677667621078505	0.217536936103502	0.762474995828308
ENSG00000183049	CAMK1D	ENSG00000183049|CD4_Memory_stim_5d	Memory	5d	潜在新位点	""	0.936941094418165	0.00848970887466005	0.293793788315197	1079	2.70868205364104e-05	0.730319849454506	1.99135769293209e-06	0.053475177379839	0.216175894987425	0.801687503371001
ENSG00000167671	UBXN6	ENSG00000167671|CD4_Memory_stim_5d	Memory	5d	黑色素瘤已知位点	MFSD12	1.05205598309388	0.00442185758521119	0.220050778362388	595	0.0190926679969983	0.751880297084541	0.000343979267116937	0.0133307499777509	0.215352305673593	0.941706437585497
ENSG00000107020	PLGRKT	ENSG00000107020|CD4_Memory_stim_40h	Memory	40h	潜在新位点	""	1.16611283867743	0.00613373233687486	0.246609080960095	931	1.15743484594051e-05	0.762439397741281	3.65546270672024e-07	0.0238660208022444	0.213682641561745	0.899532076650151
ENSG00000107020	PLGRKT	ENSG00000107020|CD4_Memory_stim_16h	Memory	16h	潜在新位点	""	1.04264103412304	0.00613373233687486	0.246609080960095	931	1.11389330857155e-09	0.766863585437566	3.51794786810645e-11	0.0240103040169786	0.209126109396384	0.897011780933564
ENSG00000176974	SHMT1	ENSG00000176974|CD4_Naive_stim_40h	Naive	40h	潜在新位点	""	0.898547913004623	0.00675402040630557	0.252813648050764	536	8.3166863258266e-09	0.780917653265103	1.521132013196e-10	0.0140780743025877	0.205004263963508	0.935740715504467
ENSG00000220205	VAMP2	ENSG00000220205|CD4_Memory_stim_40h	Memory	40h	黑色素瘤已知位点	TP53	1.27133326590078	0.0072778682850243	0.266805150737592	661	0.0113289266305839	0.717970508194765	0.00107824202776144	0.068132077608889	0.201490245538001	0.747305501956637
ENSG00000143799	PARP1	ENSG00000143799|CD4_Memory_stim_16h	Memory	16h	痣数目通路	PARP1	1.16395717495496	1.32374777805921e-08	5.88405887347321e-06	842	1.06492344602392e-07	1.03461355700426e-06	0.0745789230446707	0.724361492384817	0.20105844346461	0.21726184586683
ENSG00000057608	GDI2	ENSG00000057608|CD4_Naive_uns_0h	Naive	0h	痣数目通路	FAM208B;GDI2	0.960413642179015	0.00674913825256951	0.252813648050764	1000	1.79525907324184e-13	0.646620490715352	4.28109739040773e-14	0.153998156855068	0.199381352429358	0.564213111374495
ENSG00000115816	CEBPZ	ENSG00000115816|CD4_Memory_stim_40h	Memory	40h	痣数目通路	CYP1B1	0.78998864218159	0.00277140370320239	0.190143143679467	708	4.41377041990199e-07	0.779557791345663	1.25232147598402e-08	0.0219199136686283	0.198521841085453	0.90056369450932
ENSG00000099817	POLR2E	ENSG00000099817|CD4_Memory_uns_0h	Memory	0h	潜在新位点	""	0.938430543581264	0.00875763261007057	0.293793788315197	532	0.00888724470083684	0.78440868017294	0.000104167324606358	0.00899644445162698	0.197603463349989	0.956454750888536
ENSG00000125877	ITPA	ENSG00000125877|CD4_Memory_stim_5d	Memory	5d	潜在新位点	""	1.1192553300891	0.00548394886059611	0.232153835098569	915	1.84816273279137e-05	0.796683052544742	2.83384027710484e-07	0.0120244932577983	0.191273689186104	0.94085292296641
ENSG00000139428	MMAB	ENSG00000139428|CD4_Naive_stim_5d	Naive	5d	潜在新位点	""	1.05246425552904	0.0168304247161558	0.330657404920719	1220	0.0160369766422373	0.70698880292334	0.00196942326736218	0.0866334922734717	0.188371304893589	0.684974614385206
ENSG00000167671	UBXN6	ENSG00000167671|CD4_Naive_stim_16h	Naive	16h	黑色素瘤已知位点	MFSD12	1.05287752068928	0.00648535554074503	0.250673090248797	595	0.0282285299677316	0.76983014531507	0.000508573712778928	0.0136817411549772	0.187751009849442	0.932077871712744
ENSG00000125877	ITPA	ENSG00000125877|CD4_Naive_stim_40h	Naive	40h	潜在新位点	""	1.06635228059406	0.00548394886059611	0.232153835098569	915	2.22599313801016e-10	0.803947546558716	3.41317834145738e-12	0.0121432462848197	0.183909206930453	0.938061237767395
ENSG00000176974	SHMT1	ENSG00000176974|CD4_Memory_stim_40h	Memory	40h	潜在新位点	""	0.880745006548509	0.00675402040630557	0.252813648050764	536	5.50220017417718e-12	0.80194826962091	1.00635908342036e-13	0.0144841635228663	0.18356756685062	0.926866766094131
ENSG00000175334	BANF1	ENSG00000175334|CD4_Naive_stim_40h	Naive	40h	潜在新位点	""	0.910527396950586	0.00851926162640793	0.293793788315197	707	0.000122848147100144	0.739862406841989	1.40651109870052e-05	0.0845327438928808	0.175467936007043	0.674874912152468
ENSG00000164548	TRA2A	ENSG00000164548|CD4_Memory_stim_16h	Memory	16h	潜在新位点	""	0.944503475701458	0.0126256176893785	0.319254153389817	766	0.00249620181568957	0.786629488846365	0.000113029710205631	0.0354437989724537	0.175317480655287	0.831829646152003
ENSG00000139428	MMAB	ENSG00000139428|CD4_Naive_stim_16h	Naive	16h	潜在新位点	""	1.08265668006004	0.0344624221310504	0.426997815672527	1220	0.0170550567847325	0.718174469588365	0.00209444874849861	0.0880208658538122	0.174655159024592	0.664907119351459
ENSG00000167671	UBXN6	ENSG00000167671|CD4_Memory_stim_40h	Memory	40h	黑色素瘤已知位点	MFSD12	1.08996016806796	0.00648535554074503	0.250673090248797	595	0.037074944297721	0.776116007999376	0.000667953382415509	0.013810409478624	0.172330684841863	0.925806767554262
ENSG00000166272	WBP1L	ENSG00000166272|CD4_Naive_stim_5d	Naive	5d	潜在新位点	""	1.05757916659491	0.00343922911237038	0.207286419043882	942	0.00904994187340328	0.784971971182982	0.000476973131049503	0.0412073021741431	0.164293811638423	0.799478935127682
ENSG00000173156	RHOD	ENSG00000173156|CD4_Memory_stim_5d	Memory	5d	潜在新位点	""	1.05879096939724	0.0158676652073477	0.319254153389817	200	0.498802902650163	0.303205018658951	0.0216589677905683	0.0130024060986161	0.163330704801701	0.926262254251463
ENSG00000167136	ENDOG	ENSG00000167136|CD4_Memory_stim_40h	Memory	40h	潜在新位点	""	0.906674948646316	0.00875694159570217	0.293793788315197	206	0.0022260203728316	0.821913718681892	3.5624191373357e-05	0.0129906896972331	0.16283394705667	0.926115646037615
ENSG00000099308	MAST3	ENSG00000099308|CD4_Memory_uns_0h	Memory	0h	潜在新位点	""	1.04216448183303	0.00745525626134314	0.27051929862588	845	3.70401081904114e-09	0.823945335600201	6.08215623135798e-11	0.0133668738209903	0.162687786813978	0.924075433318376
ENSG00000167136	ENDOG	ENSG00000167136|CD4_Memory_uns_0h	Memory	0h	潜在新位点	""	0.952191328949232	0.00875694159570217	0.293793788315197	206	2.42973860607904e-05	0.824347174727679	3.88844029221926e-07	0.0130298692696098	0.162598269772621	0.925809899594297
ENSG00000139625	MAP3K12	ENSG00000139625|CD4_Memory_stim_16h	Memory	16h	潜在新位点	""	0.962338925932965	0.0180898692808839	0.333303498252969	585	2.88856931848703e-08	0.830024631244313	3.7037506613236e-10	0.0104831614609475	0.159492178038671	0.938325397720585
ENSG00000139625	MAP3K12	ENSG00000139625|CD4_Naive_stim_16h	Naive	16h	潜在新位点	""	0.963358660630912	0.0180898692808839	0.333303498252969	585	1.55983729893135e-07	0.831127374074767	2.00003800860844e-09	0.0104984190620642	0.1583740488794	0.937832263660035
ENSG00000139625	MAP3K12	ENSG00000139625|CD4_Memory_stim_40h	Memory	40h	潜在新位点	""	0.95916071753957	0.0180898692808839	0.333303498252969	585	1.95496844794353e-06	0.834044570871858	2.50667887233884e-08	0.0105387830156942	0.15541466607721	0.936495546954288
ENSG00000035499	DEPDC1B	ENSG00000035499|CD4_Naive_stim_40h	Naive	40h	潜在新位点	""	1.18148137829347	0.0133111540956991	0.319254153389817	529	0.00101853637625516	0.787668762237385	7.45264592467549e-05	0.0574800832490265	0.153758091678086	0.727889699535323
ENSG00000185262	UBALD2	ENSG00000185262|CD4_Memory_stim_16h	Memory	16h	潜在新位点	""	0.904025071908402	0.0047956382014589	0.220050778362388	538	0.0903387714014666	0.745791401897103	0.001283792725745	0.0104462063954804	0.152139827580205	0.935749669636184
ENSG00000186470	BTN3A2	ENSG00000186470|CD4_Memory_stim_16h	Memory	16h	潜在新位点	""	0.953084520242495	0.0150494823302988	0.319254153389817	1369	3.92221993079758e-32	0.812552694427453	1.89421412121592e-33	0.0390934228450646	0.14835388272748	0.791443132641164
ENSG00000186470	BTN3A2	ENSG00000186470|CD4_Memory_stim_5d	Memory	5d	潜在新位点	""	0.961047478272913	0.0150494823302988	0.319254153389817	1369	1.62696280593461e-34	0.812555121956685	7.85732563718763e-36	0.03909354262854	0.148351335414774	0.791439792665306
ENSG00000186470	BTN3A2	ENSG00000186470|CD4_Naive_stim_40h	Naive	40h	潜在新位点	""	0.954053032765161	0.0150494823302988	0.319254153389817	1369	2.38759613305597e-35	0.812555121956823	1.15307616370086e-36	0.0390935426285472	0.148351335414635	0.791439792665121
ENSG00000186470	BTN3A2	ENSG00000186470|CD4_Memory_uns_0h	Memory	0h	潜在新位点	""	0.973204079027416	0.0150494823302988	0.319254153389817	1369	5.47698752684549e-45	0.812555121956823	2.64508041316401e-46	0.0390935426285472	0.148351335414627	0.791439792665112
ENSG00000186470	BTN3A2	ENSG00000186470|CD4_Naive_stim_5d	Naive	5d	潜在新位点	""	0.969060572487533	0.0150494823302988	0.319254153389817	1369	3.66109660347979e-49	0.812555121956823	1.7681060745711e-50	0.0390935426285472	0.148351335414623	0.791439792665107
ENSG00000186470	BTN3A2	ENSG00000186470|CD4_Naive_uns_0h	Naive	0h	潜在新位点	""	0.969732945215183	0.0150494823302988	0.319254153389817	1369	8.47938015467089e-37	0.812555121956927	4.09506909646178e-38	0.0390935426285522	0.148351335414526	0.791439792664978
ENSG00000186470	BTN3A2	ENSG00000186470|CD4_Naive_stim_16h	Naive	16h	潜在新位点	""	0.954843644813554	0.0150494823302988	0.319254153389817	1369	1.84142563549319e-36	0.812555121959479	8.89306184625628e-38	0.0390935426286783	0.148351335411846	0.791439792661464
ENSG00000186470	BTN3A2	ENSG00000186470|CD4_Memory_stim_40h	Memory	40h	潜在新位点	""	0.941217123287356	0.0150494823302988	0.319254153389817	1369	5.32717740311692e-17	0.812562837465359	2.57273045398922e-18	0.0390939233409252	0.148343239193713	0.791429176518287
