direction	pathway	total_raw_delta	mean_partner_raw_delta	mean_delta_per_LR	total_threshold_delta	threshold_distortion
Incoming_partner_to_CD4	SIRP	-0.045824843954325	-0.00654640627918928	-0.00654640627918928	-0.0323171584742395	0.0135076854800855
Incoming_partner_to_CD4	SLIT	0	0	0	0	0
Incoming_partner_to_CD4	SLITRK	0	0	0	0	0
Incoming_partner_to_CD4	SLURP	0	0	0	0	0
Incoming_partner_to_CD4	SN	0	0	0	0	0
Incoming_partner_to_CD4	SOMATOSTATIN	0	0	0	0	0
Incoming_partner_to_CD4	SPP1	0	0	0	0	0
Incoming_partner_to_CD4	TAC	0	0	0	0	0
Incoming_partner_to_CD4	TENASCIN	0	0	0	0	0
Incoming_partner_to_CD4	TGFb	0	0	0	0	0
Incoming_partner_to_CD4	THBS	0	0	0	0	0
Incoming_partner_to_CD4	THY1	0	0	0	0	0
Incoming_partner_to_CD4	TNF	0.00657091978232595	0.000938702826046565	0.000469351413023282	0.00657091978232595	0
Incoming_partner_to_CD4	TRAIL	0	0	0	0	0
Incoming_partner_to_CD4	TRH	0	0	0	0	0
Incoming_partner_to_CD4	TSH	0	0	0	0	0
Incoming_partner_to_CD4	TULP	0	0	0	0	0
Incoming_partner_to_CD4	TWEAK	0	0	0	0	0
Incoming_partner_to_CD4	UCN	0	0	0	0	0
Incoming_partner_to_CD4	UGRP1	0	0	0	0	0
Incoming_partner_to_CD4	UNC5	0	0	0	0	0
Incoming_partner_to_CD4	UROTENSIN	0	0	0	0	0
Incoming_partner_to_CD4	UTS2	0	0	0	0	0
Incoming_partner_to_CD4	VCAM	0	0	0	0	0
Incoming_partner_to_CD4	VEGF	0	0	0	0	0
Incoming_partner_to_CD4	VEGI	0	0	0	0	0
Incoming_partner_to_CD4	VISFATIN	0	0	0	0	0
Incoming_partner_to_CD4	VTN	0	0	0	0	0
Incoming_partner_to_CD4	VWF	0	0	0	0	0
Incoming_partner_to_CD4	WNT	0	0	0	0	0
Incoming_partner_to_CD4	XCR	0	0	0	0	0
Incoming_partner_to_CD4	ncWNT	0	0	0	0	0
Outgoing_CD4_to_partner	ACTIVIN	0	0	0	0	0
Outgoing_CD4_to_partner	ADIPONECTIN	0	0	0	0	0
Outgoing_CD4_to_partner	ADM	0	0	0	0	0
Outgoing_CD4_to_partner	AGRN	0	0	0	0	0
Outgoing_CD4_to_partner	AGT	0	0	0	0	0
Outgoing_CD4_to_partner	AMH	0	0	0	0	0
Outgoing_CD4_to_partner	ANGPT	0	0	0	0	0
Outgoing_CD4_to_partner	ANGPTL	0	0	0	0	0
Outgoing_CD4_to_partner	ANNEXIN	-0.000226286154908266	-3.23265935583237e-05	-5.38776559305395e-06	-0.000226286154908273	-6.93889390390723e-18
Outgoing_CD4_to_partner	APP	0	0	0	0	0
Outgoing_CD4_to_partner	APRIL	0	0	0	0	0
Outgoing_CD4_to_partner	ApoA	0	0	0	0	0
Outgoing_CD4_to_partner	ApoB	0	0	0	0	0
Outgoing_CD4_to_partner	ApoE	0	0	0	0	0
Outgoing_CD4_to_partner	BAFF	0	0	0	0	0
Outgoing_CD4_to_partner	BAG	0	0	0	0	0
Outgoing_CD4_to_partner	BMP	0	0	0	0	0
Outgoing_CD4_to_partner	BMP10	0	0	0	0	0
Outgoing_CD4_to_partner	BRADYKININ	0	0	0	0	0
Outgoing_CD4_to_partner	BSP	0	0	0	0	0
Outgoing_CD4_to_partner	BTLA	0	0	0	0	0
Outgoing_CD4_to_partner	CADM	-0.0187022435480533	-0.00267174907829333	-0.000445291513048888	-0.0187022435480533	0
