section	patient	gene	compartment	n_spots	rho	p
mel1_rep2	mel1	ZFYVE19	bcell	292	-0.02385728142874052	0.6847554057049523
mel1_rep2	mel1	ZFYVE19	myeloid	292	0.20500592631261103	0.0004224679026433047
mel1_rep2	mel1	ZFYVE19	stroma	292	-0.008369978048426275	0.8867520072994631
mel1_rep2	mel1	ZFYVE19	glycolysis	292	0.05604494812143846	0.3399120877892445
mel1_rep2	mel1	ZFYVE19	prolif	292	0.08577461575393744	0.14370660521663234
mel1_rep2	mel1	SPSB2	tumor	292	0.07596394055380302	0.19553572033001718
mel1_rep2	mel1	SPSB2	lymphoid	292	0.047378598950429104	0.41990487177089475
mel1_rep2	mel1	SPSB2	bcell	292	-0.0039168973893029735	0.9468642110308328
mel1_rep2	mel1	SPSB2	myeloid	292	0.05462381088882986	0.3523177430405403
mel1_rep2	mel1	SPSB2	stroma	292	-0.04780517577974016	0.4157270277923405
mel1_rep2	mel1	SPSB2	glycolysis	292	0.09947703010297404	0.08973747851795282
mel1_rep2	mel1	SPSB2	prolif	292	0.06748125457902525	0.2503561086231282
mel1_rep2	mel1	HLA-C	tumor	292	0.0178925804879539	0.7607763312902691
mel1_rep2	mel1	HLA-C	lymphoid	292	0.273843908222642	2.029221909751527e-06
mel1_rep2	mel1	HLA-C	bcell	292	0.08662837194276109	0.1397468915015104
mel1_rep2	mel1	HLA-C	myeloid	292	0.34005938440473976	2.4506832850611664e-09
mel1_rep2	mel1	HLA-C	stroma	292	0.17336429398381042	0.0029559489491419555
mel1_rep2	mel1	HLA-C	glycolysis	292	-0.02906986412778275	0.6207978208089615
mel1_rep2	mel1	HLA-C	prolif	292	0.10085751564253284	0.08535047009366883
mel1_rep2	mel1	KIAA0040	tumor	292	-0.1829539777464537	0.0016926580603058218
mel1_rep2	mel1	KIAA0040	lymphoid	292	0.21294113626188652	0.0002470905244114608
mel1_rep2	mel1	KIAA0040	bcell	292	0.25655450245536915	9.007070149269039e-06
mel1_rep2	mel1	KIAA0040	myeloid	292	0.11886638552768768	0.042389216820528146
mel1_rep2	mel1	KIAA0040	stroma	292	-0.01817473037090119	0.7571212034259192
mel1_rep2	mel1	KIAA0040	glycolysis	292	-0.10851012878061017	0.064063191706766
mel1_rep2	mel1	KIAA0040	prolif	292	0.09792444368229562	0.09488523075537739
mel2_rep1	mel2	TPI1	tumor	382	0.22639597904765077	7.876291518176729e-06
mel2_rep1	mel2	TPI1	lymphoid	382	-0.037769507316571624	0.4617053321600895
mel2_rep1	mel2	TPI1	bcell	382	-0.0673311364003374	0.18913144858259703
mel2_rep1	mel2	TPI1	myeloid	382	0.08339104040746909	0.10366127793083535
mel2_rep1	mel2	TPI1	stroma	382	0.0020916980415488784	0.9674968512810697
