gene	set1	set2	set3	set4	mean_lfc	n_pos	consistent
CCT7	0.2690991175702971	0.5262100911505616	0.3750595737086024	0.6051124075314849	0.4438702974902365	4	True
IMP3	0.2276471238642585	0.5824534627692897	0.3738832287932551	0.5878103539551461	0.4429485423454874	4	True
ATP5MF	0.13043898705623708	0.6305994979550621	0.327353337146543	0.6832653969320152	0.4429143047724644	4	True
RPL4	0.2455787205932314	0.5982511911374372	0.4152945160860425	0.5101033985339808	0.44230695658767294	4	True
TSR3	0.08466173860780352	0.6827294235728093	0.47434421238805424	0.5268515978624806	0.4421467431077869	4	True
POLR2F	0.2195319083373662	0.5580714344341827	0.37997300844475496	0.6106877205633321	0.442066017944909	4	True
AURKAIP1	0.17582242237184956	0.5951212320758638	0.37057370351713603	0.6250391470494178	0.4416391262535667	4	True
RPS15	0.20837902364179078	0.6079702090471776	0.3541560769796132	0.5955432069193667	0.44151212914698706	4	True
LMNA	0.40893053417724057	0.35810324695049967	0.684745175140262	0.3136829430212667	0.4413654748223172	4	True
CISD3	0.3236462930796187	0.475756141846125	0.2757348590365543	0.6892076765838492	0.44108624263653684	4	True
RPS9	0.18181283272124324	0.6148053348342233	0.3883643790515701	0.5674983047625396	0.4381202128423941	4	True
MRPS12	0.15048160961039128	0.5986296099570364	0.47238778977847895	0.5297127415179337	0.43780293771596007	4	True
RPS5	0.1962158768274771	0.5728269428944255	0.3808017710736309	0.6001463946818119	0.43749774636933636	4	True
SNRPB2	0.23596642993768047	0.5799187337495866	0.4121053236133998	0.5209774178097668	0.4372419762776084	4	True
RPL15	0.25618788087825817	0.5555839414999243	0.35180960322887944	0.5835026807850591	0.43677102659803024	4	True
RPL3	0.3038118945836314	0.4837508234435488	0.36553478317226185	0.5922453684920023	0.43633571742286115	4	True
RPS17	0.2004615211981829	0.5742748987334799	0.3589830958498056	0.6055647512432044	0.43482106675616816	4	True
IFITM2	0.2871900318312156	0.5615887992489049	0.36624814508724146	0.5240331568934847	0.43476503326521165	4	True
EGR2	0.26184657705226416	0.7007390413951893	0.25149023540331944	0.5248882773648831	0.434741032803914	4	True
ARHGDIA	0.28585762944482795	0.576021708677196	0.3575556857586179	0.5189959356413434	0.43460773988049634	4	True
NDUFAB1	0.16406209573560088	0.5797860390545196	0.4618286623785675	0.5295001093111066	0.4337942266199486	4	True
CHCHD2	0.1660320310552394	0.6353884028212964	0.37662229039431677	0.5530108075036777	0.4327633829436326	4	True
PPAN	0.31432599533562333	0.6309515928799736	0.3096747862642521	0.4738789007336805	0.4322078188033824	4	True
CARMIL2	0.3114637923241077	0.5290739324871879	0.2988487290916992	0.5887090520309117	0.4320238764834766	4	True
UTP11	0.21726326798133852	0.6213931929732082	0.3594929379859865	0.5284556386327595	0.43165125939332316	4	True
PRMT5	0.21005015726109316	0.5422746539382185	0.47575703047845197	0.4954844253767468	0.4308915667636276	4	True
NOP56	0.1817031738746748	0.6021908622773916	0.4397153683169468	0.4990835262098358	0.43067323266971225	4	True
FAM50A	0.32409335374754766	0.31769358562192784	0.5695376991431605	0.5107498079534653	0.43051861161652527	4	True
NDUFB7	0.151009934643821	0.5171369149463637	0.41387077571357506	0.6396561036425135	0.43041843223656834	4	True
PSMB3	0.2342030024194417	0.5242229277506578	0.39672670063105986	0.5660633171562801	0.4303039869893599	4	True
RPL23	0.20250574206111221	0.6156674957994448	0.3466531569789885	0.5559664581101305	0.430198213237419	4	True
SNRPC	0.36803166003474813	0.4699315168362065	0.43399537857269493	0.4487497703329713	0.4301770814441552	4	True
SRP14	0.18624609498969785	0.5853885347371676	0.3550988572280503	0.5908097063286544	0.4293857983208925	4	True
PIM3	0.2494779828087262	0.5246563357035671	0.43317403006636535	0.5100604555501733	0.429342201032208	4	True
HNRNPA1	0.26566587329576985	0.5724039297952385	0.3457918760591188	0.5286245488372132	0.4281215569968351	4	True
NDUFS5	0.07243222409682357	0.6815054768908657	0.41304056615826173	0.5450247046652522	0.4280007429528008	4	True
EIF4A3	0.28909865744120933	0.5556239936192773	0.4537789163999639	0.410990845998036	0.42737310336462164	4	True
EEF1G	0.20121940461286938	0.5921171774014008	0.37103943869790434	0.5449977595130725	0.4273434450563117	4	True
NOLC1	0.21555481830837997	0.6079828384663793	0.3760641402167588	0.5087745037770476	0.4270940751921414	4	True
SNRPB	0.19180422735015515	0.5563167954791994	0.36400709036383105	0.5959978211441921	0.42703148358434445	4	True
