phenocode	phenotype	category	num_cases	num_controls	path_bucket	path_https
AB1_ENTEROBIASIS	Enterobiasis	I Certain infectious and parasitic diseases (AB1_)	149	499558	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_ENTEROBIASIS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_ENTEROBIASIS.gz
AB1_ENTEROBIASIS_WIDE	Enterobiasis	I Certain infectious and parasitic diseases (AB1_)	768	498941	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_ENTEROBIASIS_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_ENTEROBIASIS_WIDE.gz
AB1_ERYSIPELAS	Erysipelas	I Certain infectious and parasitic diseases (AB1_)	30206	433757	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_ERYSIPELAS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_ERYSIPELAS.gz
AB1_ERYSIPELAS_WIDE	Erysipelas	I Certain infectious and parasitic diseases (AB1_)	41584	423910	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_ERYSIPELAS_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_ERYSIPELAS_WIDE.gz
AB1_ERYSIPLEOID_WIDE	Erysipeloid	I Certain infectious and parasitic diseases (AB1_)	132	499417	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_ERYSIPLEOID_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_ERYSIPLEOID_WIDE.gz
AB1_GASTROENTERITIS_NOS	Diarrhoea and gastroenteritis of presumed infectious origin	I Certain infectious and parasitic diseases (AB1_)	41774	441806	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_GASTROENTERITIS_NOS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_GASTROENTERITIS_NOS.gz
AB1_GASTROENTERITIS_NOS_WIDE	Diarrhoea and gastroenteritis of presumed infectious origin	I Certain infectious and parasitic diseases (AB1_)	68229	417006	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_GASTROENTERITIS_NOS_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_GASTROENTERITIS_NOS_WIDE.gz
AB1_GONOCOCCAL	Gonococcal infection	I Certain infectious and parasitic diseases (AB1_)	1212	484932	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_GONOCOCCAL.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_GONOCOCCAL.gz
AB1_GONOCOCCAL_WIDE	Gonococcal infection	I Certain infectious and parasitic diseases (AB1_)	1306	484851	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_GONOCOCCAL_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_GONOCOCCAL_WIDE.gz
AB1_HELMINTHIASES_NOS_WIDE	Other helminthiases	I Certain infectious and parasitic diseases (AB1_)	82	499526	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_HELMINTHIASES_NOS_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_HELMINTHIASES_NOS_WIDE.gz
AB1_HELMINTIASES	Helminthiases	I Certain infectious and parasitic diseases (AB1_)	628	499558	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_HELMINTIASES.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_HELMINTIASES.gz
AB1_HELMINTIASES_WIDE	Helminthiases	I Certain infectious and parasitic diseases (AB1_)	1510	498676	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_HELMINTIASES_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_HELMINTIASES_WIDE.gz
AB1_HEPATITIS_A	Acute hepatitis A	I Certain infectious and parasitic diseases (AB1_)	148	497325	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_HEPATITIS_A.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_HEPATITIS_A.gz
AB1_HEPATITIS_B	Acute hepatitis B	I Certain infectious and parasitic diseases (AB1_)	151	497325	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_HEPATITIS_B.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_HEPATITIS_B.gz
AB1_HERPES_SIMPLEX	Herpesviral [herpes simplex] infections	I Certain infectious and parasitic diseases (AB1_)	4963	478888	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_HERPES_SIMPLEX.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_HERPES_SIMPLEX.gz
AB1_HERPES_SIMPLEX_WIDE	Herpesviral [herpes simplex] infections	I Certain infectious and parasitic diseases (AB1_)	11722	472534	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_HERPES_SIMPLEX_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_HERPES_SIMPLEX_WIDE.gz
AB1_HIV_INFECT_PARASITES	Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	80	499589	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_HIV_INFECT_PARASITES.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_HIV_INFECT_PARASITES.gz
AB1_HIV_INFECT_PARASITES_WIDE	Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	92	499581	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_HIV_INFECT_PARASITES_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_HIV_INFECT_PARASITES_WIDE.gz
AB1_HIV_NOS	Unspecified human immunodeficiency virus [HIV] disease	I Certain infectious and parasitic diseases (AB1_)	305	499589	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_HIV_NOS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_HIV_NOS.gz
AB1_INFECT_PARASIT_WIDE	Certain infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	244545	255641	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_INFECT_PARASIT_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_INFECT_PARASIT_WIDE.gz
AB1_INTESTINAL_INFECTIONS	Intestinal infectious diseases	I Certain infectious and parasitic diseases (AB1_)	58380	441806	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_INTESTINAL_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_INTESTINAL_INFECTIONS.gz
AB1_INTESTINAL_INFECTIONS_WIDE	Intestinal infectious diseases	I Certain infectious and parasitic diseases (AB1_)	87416	412770	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_INTESTINAL_INFECTIONS_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_INTESTINAL_INFECTIONS_WIDE.gz
AB1_INT_HELMINTIASES_NOS_WIDE	Intestinal helminthiases, other/unspecified	I Certain infectious and parasitic diseases (AB1_)	98	499480	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_INT_HELMINTIASES_NOS_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_INT_HELMINTIASES_NOS_WIDE.gz
AB1_LATE_SYPHILIS	Late syphilis	I Certain infectious and parasitic diseases (AB1_)	457	484932	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_LATE_SYPHILIS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_LATE_SYPHILIS.gz
AB1_LATE_SYPHILIS_WIDE	Late syphilis	I Certain infectious and parasitic diseases (AB1_)	565	484831	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_LATE_SYPHILIS_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_LATE_SYPHILIS_WIDE.gz
AB1_LISTERIOSIS	Listeriosis	I Certain infectious and parasitic diseases (AB1_)	169	433757	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_LISTERIOSIS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_LISTERIOSIS.gz
AB1_LYME	Lyme disease	I Certain infectious and parasitic diseases (AB1_)	13633	486553	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_LYME.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_LYME.gz
AB1_MALARIA	Malaria	I Certain infectious and parasitic diseases (AB1_)	171	499140	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_MALARIA.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_MALARIA.gz
AB1_MALARIA_FALCIPARIUM	Plasmodium falciparum malaria	I Certain infectious and parasitic diseases (AB1_)	80	499140	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_MALARIA_FALCIPARIUM.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_MALARIA_FALCIPARIUM.gz
AB1_MALARIA_NOS	Other parasitologically confirmed or unspecified malaria	I Certain infectious and parasitic diseases (AB1_)	77	499140	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_MALARIA_NOS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_MALARIA_NOS.gz
AB1_MALARIA_NOS_WIDE	Other parasitologically confirmed or unspecified malaria	I Certain infectious and parasitic diseases (AB1_)	102	499115	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_MALARIA_NOS_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_MALARIA_NOS_WIDE.gz
AB1_MEASLES	Measles	I Certain infectious and parasitic diseases (AB1_)	426	478888	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_MEASLES.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_MEASLES.gz
AB1_MENINGOCOCCAL	Meningococcal infection	I Certain infectious and parasitic diseases (AB1_)	290	433757	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_MENINGOCOCCAL.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_MENINGOCOCCAL.gz
AB1_MUMPS	Mumps	I Certain infectious and parasitic diseases (AB1_)	995	485440	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_MUMPS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_MUMPS.gz
AB1_MYCOSES	Mycoses	I Certain infectious and parasitic diseases (AB1_)	12271	487915	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_MYCOSES.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_MYCOSES.gz
AB1_MYCOSES_WIDE	Mycoses	I Certain infectious and parasitic diseases (AB1_)	48813	451373	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_MYCOSES_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_MYCOSES_WIDE.gz
AB1_MYSOSIS_NOS	Other mycoses, not elsewhere classified/unspecified	I Certain infectious and parasitic diseases (AB1_)	123	487915	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_MYSOSIS_NOS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_MYSOSIS_NOS.gz
AB1_MYSOSIS_NOS_WIDE	Other mycoses, not elsewhere classified/unspecified	I Certain infectious and parasitic diseases (AB1_)	603	487465	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_MYSOSIS_NOS_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_MYSOSIS_NOS_WIDE.gz
AB1_OTHER_BACTERIAL	Other bacterial diseases	I Certain infectious and parasitic diseases (AB1_)	66429	433757	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_BACTERIAL.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_BACTERIAL.gz
AB1_OTHER_BACTERIAL_WIDE	Other bacterial diseases	I Certain infectious and parasitic diseases (AB1_)	78806	421380	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_BACTERIAL_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_BACTERIAL_WIDE.gz
AB1_OTHER_BACT_INOTHER	Other bacterial agents as the cause of diseases classified to other chapters	I Certain infectious and parasitic diseases (AB1_)	365	496595	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_BACT_INOTHER.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_BACT_INOTHER.gz
AB1_OTHER_BACT_INOTHER_WIDE	Other bacterial agents as the cause of diseases classified to other chapters	I Certain infectious and parasitic diseases (AB1_)	446	496517	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_BACT_INOTHER_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_BACT_INOTHER_WIDE.gz
AB1_OTHER_CESTODE	Other cestode infections	I Certain infectious and parasitic diseases (AB1_)	122	499558	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_CESTODE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_CESTODE.gz
AB1_OTHER_CHLAMYDIAE	Other diseases caused by chlamydiae	I Certain infectious and parasitic diseases (AB1_)	433	499753	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_CHLAMYDIAE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_CHLAMYDIAE.gz
AB1_OTHER_CHLAMYDIAE_WIDE	Other diseases caused by chlamydiae	I Certain infectious and parasitic diseases (AB1_)	584	499602	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_CHLAMYDIAE_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_CHLAMYDIAE_WIDE.gz
AB1_OTHER_CONDITIONS	Human immunodeficiency virus [HIV] disease resulting in other conditions	I Certain infectious and parasitic diseases (AB1_)	539	499589	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_CONDITIONS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_CONDITIONS.gz
AB1_OTHER_INFECTIONS	Other infectious diseases	I Certain infectious and parasitic diseases (AB1_)	3138	497048	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_INFECTIONS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_INFECTIONS.gz
AB1_OTHER_INFECTIONS_WIDE	Other infectious diseases	I Certain infectious and parasitic diseases (AB1_)	3764	496422	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_INFECTIONS_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_INFECTIONS_WIDE.gz
AB1_OTHER_INFESTATIONS	Other infestations	I Certain infectious and parasitic diseases (AB1_)	79	497786	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_INFESTATIONS.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_INFESTATIONS.gz
AB1_OTHER_INFESTATIONS_WIDE	Other infestations	I Certain infectious and parasitic diseases (AB1_)	587	497280	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_INFESTATIONS_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_INFESTATIONS_WIDE.gz
AB1_OTHER_MOSQUITO_FEVER	Other mosquito-borne viral fevers	I Certain infectious and parasitic diseases (AB1_)	78	496325	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_MOSQUITO_FEVER.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_MOSQUITO_FEVER.gz
AB1_OTHER_MOSQUITO_FEVER_WIDE	Other mosquito-borne viral fevers	I Certain infectious and parasitic diseases (AB1_)	259	496151	gs://finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_MOSQUITO_FEVER_WIDE.gz	https://storage.googleapis.com/finngen-public-data-r13/summary_stats/finngen_R13_AB1_OTHER_MOSQUITO_FEVER_WIDE.gz
