source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence
MonoMacro	CD4_Glyco_lo	HLA-B	CD8A	0.307942337521346	0	HLA-B_CD8A	HLA-B - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
NK	CD4_Glyco_lo	HLA-B	CD8A	0.321705816391597	0	HLA-B_CD8A	HLA-B - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
pDC	CD4_Glyco_lo	HLA-B	CD8A	0.315692110739696	0	HLA-B_CD8A	HLA-B - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Plasma	CD4_Glyco_lo	HLA-B	CD8A	0.262892746750494	0	HLA-B_CD8A	HLA-B - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Tprolif	CD4_Glyco_lo	HLA-B	CD8A	0.319647300653311	0	HLA-B_CD8A	HLA-B - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
B	CD8T	HLA-B	CD8A	0.362328537972566	0	HLA-B_CD8A	HLA-B - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_hi	CD8T	HLA-B	CD8A	0.381068355252476	0	HLA-B_CD8A	HLA-B - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_lo	CD8T	HLA-B	CD8A	0.379355258873331	0	HLA-B_CD8A	HLA-B - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD8T	CD8T	HLA-B	CD8A	0.381670721816707	0	HLA-B_CD8A	HLA-B - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
MonoMacro	CD8T	HLA-B	CD8A	0.367984746746249	0	HLA-B_CD8A	HLA-B - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
NK	CD8T	HLA-B	CD8A	0.382946865768281	0	HLA-B_CD8A	HLA-B - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
pDC	CD8T	HLA-B	CD8A	0.376423678560474	0	HLA-B_CD8A	HLA-B - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Plasma	CD8T	HLA-B	CD8A	0.318189948130925	0	HLA-B_CD8A	HLA-B - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Tprolif	CD8T	HLA-B	CD8A	0.380716432458777	0	HLA-B_CD8A	HLA-B - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_hi	CD4_Glyco_hi	HLA-C	CD8A	0.132404635285391	0.04	HLA-C_CD8A	HLA-C - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD8T	CD4_Glyco_hi	HLA-C	CD8A	0.13309907945263	0.03	HLA-C_CD8A	HLA-C - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
NK	CD4_Glyco_hi	HLA-C	CD8A	0.134418759479031	0.02	HLA-C_CD8A	HLA-C - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Tprolif	CD4_Glyco_hi	HLA-C	CD8A	0.13413536744388	0.02	HLA-C_CD8A	HLA-C - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
B	CD4_Glyco_lo	HLA-C	CD8A	0.282456284448858	0	HLA-C_CD8A	HLA-C - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_hi	CD4_Glyco_lo	HLA-C	CD8A	0.303095686038383	0	HLA-C_CD8A	HLA-C - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_lo	CD4_Glyco_lo	HLA-C	CD8A	0.302620691296809	0	HLA-C_CD8A	HLA-C - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD8T	CD4_Glyco_lo	HLA-C	CD8A	0.304371307810043	0	HLA-C_CD8A	HLA-C - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
MonoMacro	CD4_Glyco_lo	HLA-C	CD8A	0.289976295729489	0	HLA-C_CD8A	HLA-C - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
NK	CD4_Glyco_lo	HLA-C	CD8A	0.306788189657732	0	HLA-C_CD8A	HLA-C - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
pDC	CD4_Glyco_lo	HLA-C	CD8A	0.296448338346548	0	HLA-C_CD8A	HLA-C - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Plasma	CD4_Glyco_lo	HLA-C	CD8A	0.252733393571096	0	HLA-C_CD8A	HLA-C - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Tprolif	CD4_Glyco_lo	HLA-C	CD8A	0.30626997835363	0	HLA-C_CD8A	HLA-C - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
B	CD8T	HLA-C	CD8A	0.33997056531902	0	HLA-C_CD8A	HLA-C - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_hi	CD8T	HLA-C	CD8A	0.362688345071158	0	HLA-C_CD8A	HLA-C - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_lo	CD8T	HLA-C	CD8A	0.362168493265289	0	HLA-C_CD8A	HLA-C - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD8T	CD8T	HLA-C	CD8A	0.364083743431479	0	HLA-C_CD8A	HLA-C - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
MonoMacro	CD8T	HLA-C	CD8A	0.348278588677794	0	HLA-C_CD8A	HLA-C - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
NK	CD8T	HLA-C	CD8A	0.366724811030817	0	HLA-C_CD8A	HLA-C - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
pDC	CD8T	HLA-C	CD8A	0.355400549566688	0	HLA-C_CD8A	HLA-C - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Plasma	CD8T	HLA-C	CD8A	0.306783051463903	0	HLA-C_CD8A	HLA-C - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Tprolif	CD8T	HLA-C	CD8A	0.366158834410658	0	HLA-C_CD8A	HLA-C - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_hi	CD4_Glyco_hi	HLA-E	CD8A	0.126708188112105	0.03	HLA-E_CD8A	HLA-E - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_lo	CD4_Glyco_hi	HLA-E	CD8A	0.127398386551288	0.02	HLA-E_CD8A	HLA-E - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD8T	CD4_Glyco_hi	HLA-E	CD8A	0.126386169128485	0.03	HLA-E_CD8A	HLA-E - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
NK	CD4_Glyco_hi	HLA-E	CD8A	0.130447610435749	0.02	HLA-E_CD8A	HLA-E - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
B	CD4_Glyco_lo	HLA-E	CD8A	0.286918481796518	0	HLA-E_CD8A	HLA-E - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_hi	CD4_Glyco_lo	HLA-E	CD8A	0.292531689674067	0	HLA-E_CD8A	HLA-E - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_lo	CD4_Glyco_lo	HLA-E	CD8A	0.293821247574483	0	HLA-E_CD8A	HLA-E - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD8T	CD4_Glyco_lo	HLA-E	CD8A	0.29192912044991	0	HLA-E_CD8A	HLA-E - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
MonoMacro	CD4_Glyco_lo	HLA-E	CD8A	0.270932720076217	0	HLA-E_CD8A	HLA-E - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
NK	CD4_Glyco_lo	HLA-E	CD8A	0.299486630365505	0	HLA-E_CD8A	HLA-E - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
pDC	CD4_Glyco_lo	HLA-E	CD8A	0.279515379954767	0	HLA-E_CD8A	HLA-E - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Plasma	CD4_Glyco_lo	HLA-E	CD8A	0.208692980614397	0	HLA-E_CD8A	HLA-E - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Tprolif	CD4_Glyco_lo	HLA-E	CD8A	0.287644074758179	0	HLA-E_CD8A	HLA-E - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
B	CD8T	HLA-E	CD8A	0.344904622787421	0	HLA-E_CD8A	HLA-E - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_hi	CD8T	HLA-E	CD8A	0.351093710102988	0	HLA-E_CD8A	HLA-E - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_lo	CD8T	HLA-E	CD8A	0.352512792203656	0	HLA-E_CD8A	HLA-E - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD8T	CD8T	HLA-E	CD8A	0.350430263270001	0	HLA-E_CD8A	HLA-E - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
MonoMacro	CD8T	HLA-E	CD8A	0.327170435741864	0	HLA-E_CD8A	HLA-E - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
NK	CD8T	HLA-E	CD8A	0.358734965093784	0	HLA-E_CD8A	HLA-E - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
pDC	CD8T	HLA-E	CD8A	0.336711834177959	0	HLA-E_CD8A	HLA-E - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Plasma	CD8T	HLA-E	CD8A	0.256557776694295	0	HLA-E_CD8A	HLA-E - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Tprolif	CD8T	HLA-E	CD8A	0.345705764981012	0	HLA-E_CD8A	HLA-E - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_hi	CD4_Glyco_hi	HLA-F	CD8A	0.105193607631463	0.02	HLA-F_CD8A	HLA-F - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD8T	CD4_Glyco_hi	HLA-F	CD8A	0.102701296990766	0.02	HLA-F_CD8A	HLA-F - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Tprolif	CD4_Glyco_hi	HLA-F	CD8A	0.106424046235481	0.02	HLA-F_CD8A	HLA-F - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
B	CD4_Glyco_lo	HLA-F	CD8A	0.213434694794304	0	HLA-F_CD8A	HLA-F - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_hi	CD4_Glyco_lo	HLA-F	CD8A	0.250951954573059	0	HLA-F_CD8A	HLA-F - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_lo	CD4_Glyco_lo	HLA-F	CD8A	0.242951330684818	0	HLA-F_CD8A	HLA-F - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD8T	CD4_Glyco_lo	HLA-F	CD8A	0.245955483808891	0	HLA-F_CD8A	HLA-F - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
MonoMacro	CD4_Glyco_lo	HLA-F	CD8A	0.223566320226649	0	HLA-F_CD8A	HLA-F - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
NK	CD4_Glyco_lo	HLA-F	CD8A	0.243726111129439	0	HLA-F_CD8A	HLA-F - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
pDC	CD4_Glyco_lo	HLA-F	CD8A	0.2377452798108	0	HLA-F_CD8A	HLA-F - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Plasma	CD4_Glyco_lo	HLA-F	CD8A	0.146474561127033	0	HLA-F_CD8A	HLA-F - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Tprolif	CD4_Glyco_lo	HLA-F	CD8A	0.253404488830714	0	HLA-F_CD8A	HLA-F - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
B	CD8T	HLA-F	CD8A	0.2620269093021	0	HLA-F_CD8A	HLA-F - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_hi	CD8T	HLA-F	CD8A	0.304776017325886	0	HLA-F_CD8A	HLA-F - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_lo	CD8T	HLA-F	CD8A	0.295736917463397	0	HLA-F_CD8A	HLA-F - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD8T	CD8T	HLA-F	CD8A	0.299135870564442	0	HLA-F_CD8A	HLA-F - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
MonoMacro	CD8T	HLA-F	CD8A	0.27366264945458	0	HLA-F_CD8A	HLA-F - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
NK	CD8T	HLA-F	CD8A	0.296614078789556	0	HLA-F_CD8A	HLA-F - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
pDC	CD8T	HLA-F	CD8A	0.289832797727167	0	HLA-F_CD8A	HLA-F - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Plasma	CD8T	HLA-F	CD8A	0.18337617823479	0	HLA-F_CD8A	HLA-F - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Tprolif	CD8T	HLA-F	CD8A	0.307538601271571	0	HLA-F_CD8A	HLA-F - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_hi	CD4_Glyco_hi	HLA-G	CD8A	0.0515743901972799	0.02	HLA-G_CD8A	HLA-G - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_lo	CD4_Glyco_hi	HLA-G	CD8A	0.0507035084632216	0.02	HLA-G_CD8A	HLA-G - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
NK	CD4_Glyco_hi	HLA-G	CD8A	0.0503705679222693	0.02	HLA-G_CD8A	HLA-G - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Tprolif	CD4_Glyco_hi	HLA-G	CD8A	0.0558187165794349	0.01	HLA-G_CD8A	HLA-G - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
B	CD4_Glyco_lo	HLA-G	CD8A	0.115288737598788	0	HLA-G_CD8A	HLA-G - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_hi	CD4_Glyco_lo	HLA-G	CD8A	0.134177670359403	0	HLA-G_CD8A	HLA-G - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_lo	CD4_Glyco_lo	HLA-G	CD8A	0.132106241528642	0	HLA-G_CD8A	HLA-G - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD8T	CD4_Glyco_lo	HLA-G	CD8A	0.128581002927889	0	HLA-G_CD8A	HLA-G - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
MonoMacro	CD4_Glyco_lo	HLA-G	CD8A	0.10651316580169	0	HLA-G_CD8A	HLA-G - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
NK	CD4_Glyco_lo	HLA-G	CD8A	0.131312715266789	0	HLA-G_CD8A	HLA-G - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
pDC	CD4_Glyco_lo	HLA-G	CD8A	0.122988617582426	0	HLA-G_CD8A	HLA-G - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Plasma	CD4_Glyco_lo	HLA-G	CD8A	0.0622295295872051	0.01	HLA-G_CD8A	HLA-G - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Tprolif	CD4_Glyco_lo	HLA-G	CD8A	0.144186394467481	0	HLA-G_CD8A	HLA-G - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
B	CD8T	HLA-G	CD8A	0.145674585387719	0	HLA-G_CD8A	HLA-G - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_hi	CD8T	HLA-G	CD8A	0.168593238822247	0	HLA-G_CD8A	HLA-G - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_lo	CD8T	HLA-G	CD8A	0.166092425485371	0	HLA-G_CD8A	HLA-G - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD8T	CD8T	HLA-G	CD8A	0.161829375549692	0	HLA-G_CD8A	HLA-G - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
MonoMacro	CD8T	HLA-G	CD8A	0.134938870450742	0	HLA-G_CD8A	HLA-G - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
NK	CD8T	HLA-G	CD8A	0.165133596145423	0	HLA-G_CD8A	HLA-G - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
pDC	CD8T	HLA-G	CD8A	0.155048210129669	0	HLA-G_CD8A	HLA-G - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Plasma	CD8T	HLA-G	CD8A	0.0798937967656288	0	HLA-G_CD8A	HLA-G - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Tprolif	CD8T	HLA-G	CD8A	0.180633547381714	0	HLA-G_CD8A	HLA-G - CD8A	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_hi	CD4_Glyco_hi	HLA-A	CD8B	0.119815303692382	0.02	HLA-A_CD8B	HLA-A - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_lo	CD4_Glyco_hi	HLA-A	CD8B	0.119538116546451	0.01	HLA-A_CD8B	HLA-A - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD8T	CD4_Glyco_hi	HLA-A	CD8B	0.120023079544736	0	HLA-A_CD8B	HLA-A - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
NK	CD4_Glyco_hi	HLA-A	CD8B	0.118346536631067	0.04	HLA-A_CD8B	HLA-A - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Tprolif	CD4_Glyco_hi	HLA-A	CD8B	0.119104661951563	0.01	HLA-A_CD8B	HLA-A - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_hi	CD4_Glyco_lo	HLA-A	CD8B	0.127059743652183	0	HLA-A_CD8B	HLA-A - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_lo	CD4_Glyco_lo	HLA-A	CD8B	0.126768210635396	0	HLA-A_CD8B	HLA-A - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD8T	CD4_Glyco_lo	HLA-A	CD8B	0.127278265701352	0	HLA-A_CD8B	HLA-A - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
NK	CD4_Glyco_lo	HLA-A	CD8B	0.125514833826006	0	HLA-A_CD8B	HLA-A - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
pDC	CD4_Glyco_lo	HLA-A	CD8B	0.117577259022284	0.03	HLA-A_CD8B	HLA-A - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Tprolif	CD4_Glyco_lo	HLA-A	CD8B	0.126312300263484	0	HLA-A_CD8B	HLA-A - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
B	CD8T	HLA-A	CD8B	0.25582054673797	0	HLA-A_CD8B	HLA-A - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_hi	CD8T	HLA-A	CD8B	0.279205338109351	0	HLA-A_CD8B	HLA-A - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_lo	CD8T	HLA-A	CD8B	0.278676157113232	0	HLA-A_CD8B	HLA-A - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD8T	CD8T	HLA-A	CD8B	0.279601714597558	0	HLA-A_CD8B	HLA-A - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
MonoMacro	CD8T	HLA-A	CD8B	0.257869900449301	0	HLA-A_CD8B	HLA-A - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
NK	CD8T	HLA-A	CD8B	0.276396237802656	0	HLA-A_CD8B	HLA-A - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
pDC	CD8T	HLA-A	CD8B	0.261773185714242	0	HLA-A_CD8B	HLA-A - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Plasma	CD8T	HLA-A	CD8B	0.190301071765593	0	HLA-A_CD8B	HLA-A - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Tprolif	CD8T	HLA-A	CD8B	0.277847754481653	0	HLA-A_CD8B	HLA-A - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_hi	CD4_Glyco_hi	HLA-B	CD8B	0.122738205448056	0.04	HLA-B_CD8B	HLA-B - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_lo	CD4_Glyco_hi	HLA-B	CD8B	0.121957600879508	0.04	HLA-B_CD8B	HLA-B - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD8T	CD4_Glyco_hi	HLA-B	CD8B	0.123013381665532	0.02	HLA-B_CD8B	HLA-B - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
NK	CD4_Glyco_hi	HLA-B	CD8B	0.12359755831562	0.01	HLA-B_CD8B	HLA-B - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Tprolif	CD4_Glyco_hi	HLA-B	CD8B	0.122577606225597	0.03	HLA-B_CD8B	HLA-B - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
B	CD4_Glyco_lo	HLA-B	CD8B	0.121314901680271	0.04	HLA-B_CD8B	HLA-B - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_hi	CD4_Glyco_lo	HLA-B	CD8B	0.130133245065688	0	HLA-B_CD8B	HLA-B - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_lo	CD4_Glyco_lo	HLA-B	CD8B	0.129312541386409	0	HLA-B_CD8B	HLA-B - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD8T	CD4_Glyco_lo	HLA-B	CD8B	0.130422535915037	0	HLA-B_CD8B	HLA-B - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
MonoMacro	CD4_Glyco_lo	HLA-B	CD8B	0.123939986486683	0	HLA-B_CD8B	HLA-B - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
NK	CD4_Glyco_lo	HLA-B	CD8B	0.131036640531794	0	HLA-B_CD8B	HLA-B - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
pDC	CD4_Glyco_lo	HLA-B	CD8B	0.127914997235612	0	HLA-B_CD8B	HLA-B - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Tprolif	CD4_Glyco_lo	HLA-B	CD8B	0.12996440316352	0	HLA-B_CD8B	HLA-B - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
B	CD8T	HLA-B	CD8B	0.268698868384715	0	HLA-B_CD8B	HLA-B - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_hi	CD8T	HLA-B	CD8B	0.284758611622882	0	HLA-B_CD8B	HLA-B - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_lo	CD8T	HLA-B	CD8B	0.283280313476921	0	HLA-B_CD8B	HLA-B - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD8T	CD8T	HLA-B	CD8B	0.285278908986941	0	HLA-B_CD8B	HLA-B - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
MonoMacro	CD8T	HLA-B	CD8B	0.273520395278339	0	HLA-B_CD8B	HLA-B - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
NK	CD8T	HLA-B	CD8B	0.286382031376618	0	HLA-B_CD8B	HLA-B - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
pDC	CD8T	HLA-B	CD8B	0.280755326628177	0	HLA-B_CD8B	HLA-B - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Plasma	CD8T	HLA-B	CD8B	0.231819664644437	0	HLA-B_CD8B	HLA-B - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Tprolif	CD8T	HLA-B	CD8B	0.284454754849568	0	HLA-B_CD8B	HLA-B - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_hi	CD4_Glyco_hi	HLA-C	CD8B	0.114512881367242	0.04	HLA-C_CD8B	HLA-C - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_lo	CD4_Glyco_hi	HLA-C	CD8B	0.114284958262749	0.03	HLA-C_CD8B	HLA-C - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD8T	CD4_Glyco_hi	HLA-C	CD8B	0.115125937849116	0.02	HLA-C_CD8B	HLA-C - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
NK	CD4_Glyco_hi	HLA-C	CD8B	0.116291319185476	0	HLA-C_CD8B	HLA-C - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Tprolif	CD4_Glyco_hi	HLA-C	CD8B	0.116041021309104	0	HLA-C_CD8B	HLA-C - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_hi	CD4_Glyco_lo	HLA-C	CD8B	0.121480967651584	0	HLA-C_CD8B	HLA-C - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_lo	CD4_Glyco_lo	HLA-C	CD8B	0.121241074427739	0	HLA-C_CD8B	HLA-C - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD8T	CD4_Glyco_lo	HLA-C	CD8B	0.122126183489906	0	HLA-C_CD8B	HLA-C - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
MonoMacro	CD4_Glyco_lo	HLA-C	CD8B	0.114926329618493	0	HLA-C_CD8B	HLA-C - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
NK	CD4_Glyco_lo	HLA-C	CD8B	0.123352547838116	0	HLA-C_CD8B	HLA-C - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
pDC	CD4_Glyco_lo	HLA-C	CD8B	0.118141480285873	0	HLA-C_CD8B	HLA-C - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
Tprolif	CD4_Glyco_lo	HLA-C	CD8B	0.1230891687347	0	HLA-C_CD8B	HLA-C - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
B	CD8T	HLA-C	CD8B	0.249854663104262	0	HLA-C_CD8B	HLA-C - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_hi	CD8T	HLA-C	CD8B	0.269004920662332	0	HLA-C_CD8B	HLA-C - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD4_Glyco_lo	CD8T	HLA-C	CD8B	0.268562762873697	0	HLA-C_CD8B	HLA-C - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
CD8T	CD8T	HLA-C	CD8B	0.270192692743155	0	HLA-C_CD8B	HLA-C - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
MonoMacro	CD8T	HLA-C	CD8B	0.256817358859518	0	HLA-C_CD8B	HLA-C - CD8B	MHC-I	Cell-Cell Contact	KEGG: hsa04514
