source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence
NK	Tprolif	CCL3	CCR5	0.020859237712094	0	CCL3_CCR5	CCL3 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
Tprolif	Tprolif	CCL3	CCR5	0.0217255056609244	0	CCL3_CCR5	CCL3 - CCR5	CCL	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_hi	CD4_Glyco_hi	CXCL13	CXCR3	0.0102963504315927	0	CXCL13_CXCR3	CXCL13 - CXCR3	CXCL	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_lo	CD4_Glyco_hi	CXCL13	CXCR3	0.0134732209356346	0	CXCL13_CXCR3	CXCL13 - CXCR3	CXCL	Secreted Signaling	KEGG: hsa04060
CD8T	CD4_Glyco_hi	CXCL13	CXCR3	0.0167815402346968	0	CXCL13_CXCR3	CXCL13 - CXCR3	CXCL	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_hi	CD4_Glyco_lo	CXCL13	CXCR3	0.00995839995595983	0	CXCL13_CXCR3	CXCL13 - CXCR3	CXCL	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_lo	CD4_Glyco_lo	CXCL13	CXCR3	0.0130323711402174	0	CXCL13_CXCR3	CXCL13 - CXCR3	CXCL	Secreted Signaling	KEGG: hsa04060
CD8T	CD4_Glyco_lo	CXCL13	CXCR3	0.0162342221068622	0	CXCL13_CXCR3	CXCL13 - CXCR3	CXCL	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_hi	CD8T	CXCL13	CXCR3	0.0100444456086341	0	CXCL13_CXCR3	CXCL13 - CXCR3	CXCL	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_lo	CD8T	CXCL13	CXCR3	0.0131446248292157	0	CXCL13_CXCR3	CXCL13 - CXCR3	CXCL	Secreted Signaling	KEGG: hsa04060
CD8T	CD8T	CXCL13	CXCR3	0.0163735972520575	0	CXCL13_CXCR3	CXCL13 - CXCR3	CXCL	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_hi	pDC	CXCL13	CXCR3	0.0359932180136036	0	CXCL13_CXCR3	CXCL13 - CXCR3	CXCL	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_lo	pDC	CXCL13	CXCR3	0.0467243734313592	0	CXCL13_CXCR3	CXCL13 - CXCR3	CXCL	Secreted Signaling	KEGG: hsa04060
CD8T	pDC	CXCL13	CXCR3	0.0577197357423908	0	CXCL13_CXCR3	CXCL13 - CXCR3	CXCL	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_hi	Tprolif	CXCL13	CXCR3	0.0218490005464989	0	CXCL13_CXCR3	CXCL13 - CXCR3	CXCL	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_lo	Tprolif	CXCL13	CXCR3	0.0284877636130214	0	CXCL13_CXCR3	CXCL13 - CXCR3	CXCL	Secreted Signaling	KEGG: hsa04060
CD8T	Tprolif	CXCL13	CXCR3	0.0353507596291868	0	CXCL13_CXCR3	CXCL13 - CXCR3	CXCL	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_hi	B	CXCL13	CXCR5	0.0213327373421552	0	CXCL13_CXCR5	CXCL13 - CXCR5	CXCL	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_lo	B	CXCL13	CXCR5	0.0278190964765515	0	CXCL13_CXCR5	CXCL13 - CXCR5	CXCL	Secreted Signaling	KEGG: hsa04060
CD8T	B	CXCL13	CXCR5	0.034526728645248	0	CXCL13_CXCR5	CXCL13 - CXCR5	CXCL	Secreted Signaling	KEGG: hsa04060
MonoMacro	CD4_Glyco_hi	CXCL16	CXCR6	0.0636695663028447	0	CXCL16_CXCR6	CXCL16 - CXCR6	CXCL	Secreted Signaling	KEGG: hsa04060
pDC	CD4_Glyco_hi	CXCL16	CXCR6	0.0143441713227475	0	CXCL16_CXCR6	CXCL16 - CXCR6	CXCL	Secreted Signaling	KEGG: hsa04060
MonoMacro	CD4_Glyco_lo	CXCL16	CXCR6	0.0640197041377775	0	CXCL16_CXCR6	CXCL16 - CXCR6	CXCL	Secreted Signaling	KEGG: hsa04060
pDC	CD4_Glyco_lo	CXCL16	CXCR6	0.0144272337470141	0	CXCL16_CXCR6	CXCL16 - CXCR6	CXCL	Secreted Signaling	KEGG: hsa04060
MonoMacro	CD8T	CXCL16	CXCR6	0.065940790984424	0	CXCL16_CXCR6	CXCL16 - CXCR6	CXCL	Secreted Signaling	KEGG: hsa04060
pDC	CD8T	CXCL16	CXCR6	0.0148838269545532	0	CXCL16_CXCR6	CXCL16 - CXCR6	CXCL	Secreted Signaling	KEGG: hsa04060
MonoMacro	Tprolif	CXCL16	CXCR6	0.0630912658030018	0	CXCL16_CXCR6	CXCL16 - CXCR6	CXCL	Secreted Signaling	KEGG: hsa04060
pDC	Tprolif	CXCL16	CXCR6	0.014207087709367	0	CXCL16_CXCR6	CXCL16 - CXCR6	CXCL	Secreted Signaling	KEGG: hsa04060
CD4_Glyco_hi	B	MIF	CD74_CXCR4	0.300988519146544	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
CD4_Glyco_lo	B	MIF	CD74_CXCR4	0.289727691174869	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
CD8T	B	MIF	CD74_CXCR4	0.286304807834923	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
MonoMacro	B	MIF	CD74_CXCR4	0.3059443950435	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
pDC	B	MIF	CD74_CXCR4	0.288349332834737	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
Plasma	B	MIF	CD74_CXCR4	0.327833609977456	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
Tprolif	B	MIF	CD74_CXCR4	0.311651835004771	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
Plasma	CD4_Glyco_hi	MIF	CD74_CXCR4	0.296521754314835	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
Tprolif	CD4_Glyco_hi	MIF	CD74_CXCR4	0.281238857759725	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
Plasma	CD4_Glyco_lo	MIF	CD74_CXCR4	0.296628218670256	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
Tprolif	CD4_Glyco_lo	MIF	CD74_CXCR4	0.281342029391497	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
MonoMacro	CD8T	MIF	CD74_CXCR4	0.279395106781775	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
Plasma	CD8T	MIF	CD74_CXCR4	0.300206427243698	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
Tprolif	CD8T	MIF	CD74_CXCR4	0.284810507675657	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
Plasma	MonoMacro	MIF	CD74_CXCR4	0.286289089109064	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
CD4_Glyco_hi	pDC	MIF	CD74_CXCR4	0.307612792892354	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
CD4_Glyco_lo	pDC	MIF	CD74_CXCR4	0.296209152385589	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
CD8T	pDC	MIF	CD74_CXCR4	0.292741255946437	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
MonoMacro	pDC	MIF	CD74_CXCR4	0.312628958323445	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
pDC	pDC	MIF	CD74_CXCR4	0.294812757684281	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
Plasma	pDC	MIF	CD74_CXCR4	0.334765750892958	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
Tprolif	pDC	MIF	CD74_CXCR4	0.318403891947477	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
MonoMacro	Tprolif	MIF	CD74_CXCR4	0.27991358798761	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
Plasma	Tprolif	MIF	CD74_CXCR4	0.300747410316377	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
Tprolif	Tprolif	MIF	CD74_CXCR4	0.285335059126187	0	MIF_CD74_CXCR4	MIF - (CD74+CXCR4)	MIF	Secreted Signaling	PMID: 29637711; PMID: 24760155
CD4_Glyco_hi	B	MIF	CD74_CD44	0.25306371823952	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
MonoMacro	B	MIF	CD74_CD44	0.257521206061864	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
Plasma	B	MIF	CD74_CD44	0.277330261098875	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
Tprolif	B	MIF	CD74_CD44	0.262667176143065	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
MonoMacro	CD4_Glyco_hi	MIF	CD74_CD44	0.249850921959131	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
Plasma	CD4_Glyco_hi	MIF	CD74_CD44	0.269283950749164	0	MIF_CD74_CD44	MIF - (CD74+CD44)	MIF	Secreted Signaling	PMID: 29637711; PMID: 26175090
