cell	cell_group
C1_P4_M39	Tprolif
C2_P1_M39	CD8T
C2_P3_M39	CD8T
C2_P4_M39	CD4_Glyco_hi
C3_P2_M39	CD4_Glyco_lo
C4_P1_M39	B
C4_P2_M39	CD4_Glyco_hi
C4_P4_M39	CD8T
C5_P4_M39	CD8T
C7_P2_M39	MonoMacro
C8_P2_M39	CD4_Glyco_lo
C8_P4_M39	Tprolif
C9_P4_M39	Tprolif
D10_P1_M39	CD8T
D10_P2_M39	CD8T
D10_P4_M39	Tprolif
D11_P2_M39	Tprolif
D11_P4_M39	CD4_Glyco_lo
D12_P1_M39	CD8T
D12_P3_M39	Tprolif
D12_P4_M39	CD8T
D1_P1_M39	CD8T
D1_P2_M39	CD4_Glyco_lo
D1_P4_M39	CD8T
D2_P2_M39	Tprolif
D3_P1_M39	CD8T
D3_P2_M39	pDC
D3_P3_M39	Plasma
D4_P4_M39	Tprolif
D5_P3_M39	CD4_Glyco_hi
D6_P2_M39	CD8T
D6_P3_M39	Plasma
D7_P1_M39	CD4_Glyco_hi
D7_P2_M39	Tprolif
D8_P3_M39	CD8T
D9_P1_M39	Tprolif
D9_P4_M39	CD4_Glyco_lo
E10_P2_M39	CD8T
E10_P3_M39	CD8T
E10_P4_M39	CD4_Glyco_lo
E11_P1_M39	CD4_Glyco_lo
E11_P2_M39	CD8T
E11_P3_M39	Tprolif
E12_P2_M39	Plasma
E12_P3_M39	CD8T
E1_P1_M39	Tprolif
E1_P3_M39	CD4_Glyco_hi
E2_P1_M39	Tprolif
E2_P3_M39	Tprolif
E3_P3_M39	CD8T
E4_P1_M39	Tprolif
E4_P3_M39	MonoMacro
E4_P4_M39	Plasma
E5_P4_M39	CD8T
E6_P1_M39	CD4_Glyco_hi
E6_P3_M39	Plasma
E7_P1_M39	CD8T
E7_P2_M39	Tprolif
E7_P4_M39	Plasma
E8_P2_M39	Tprolif
E9_P2_M39	Tprolif
E9_P4_M39	CD8T
F10_P1_M39	CD8T
F10_P3_M39	CD8T
F10_P4_M39	MonoMacro
F11_P2_M39	MonoMacro
F12_P3_M39	CD4_Glyco_hi
F12_P4_M39	CD8T
F1_P1_M39	Tprolif
F1_P3_M39	CD4_Glyco_hi
F1_P4_M39	Tprolif
F2_P3_M39	CD8T
