cell	cell_group
A10_P2_MMD1-84B_L001	CD4_Glyco_lo
A10_P3_MMD1-84B_L001	CD8T
A10_P4_MMD1-84B_L001	CD4_Glyco_lo
A11_P2_MMD1-84B_L001	CD8T
A11_P3_MMD1-84B_L001	CD4_Glyco_lo
A11_P4_MMD1-84B_L001	CD8T
A12_P2_MMD1-84B_L001	CD4_Glyco_lo
A12_P3_MMD1-84B_L001	CD8T
A1_P1_MMD1-84B_L001	CD8T
A1_P2_MMD1-84B_L001	MonoMacro
A1_P4_MMD1-84B_L001	CD8T
A2_P1_MMD1-84B_L001	CD4_Glyco_lo
A2_P4_MMD1-84B_L001	CD8T
A3_P3_MMD1-84B_L001	CD4_Glyco_hi
A4_P1_MMD1-84B_L001	CD8T
A4_P2_MMD1-84B_L001	CD4_Glyco_lo
A4_P4_MMD1-84B_L001	CD8T
A5_P1_MMD1-84B_L001	CD8T
A5_P3_MMD1-84B_L001	CD8T
A6_P1_MMD1-84B_L001	CD8T
A6_P2_MMD1-84B_L001	CD4_Glyco_hi
A6_P3_MMD1-84B_L001	CD8T
A7_P1_MMD1-84B_L001	CD8T
A7_P2_MMD1-84B_L001	CD4_Glyco_lo
A7_P3_MMD1-84B_L001	Tprolif
A9_P3_MMD1-84B_L001	CD8T
A9_P4_MMD1-84B_L001	CD8T
B10_P1_MMD1-84B_L001	CD8T
B10_P2_MMD1-84B_L001	CD8T
B10_P3_MMD1-84B_L001	CD8T
B10_P4_MMD1-84B_L001	CD8T
B11_P1_MMD1-84B_L001	CD8T
B11_P2_MMD1-84B_L001	CD8T
B11_P3_MMD1-84B_L001	CD8T
B12_P1_MMD1-84B_L001	CD8T
B12_P3_MMD1-84B_L001	CD8T
B12_P4_MMD1-84B_L001	CD4_Glyco_lo
B1_P1_MMD1-84B_L001	CD8T
B1_P2_MMD1-84B_L001	CD4_Glyco_hi
B1_P4_MMD1-84B_L001	Tprolif
B2_P1_MMD1-84B_L001	CD4_Glyco_lo
B2_P2_MMD1-84B_L001	CD8T
B2_P4_MMD1-84B_L001	CD8T
B3_P1_MMD1-84B_L001	CD4_Glyco_lo
B3_P2_MMD1-84B_L001	CD8T
B4_P1_MMD1-84B_L001	CD4_Glyco_hi
B5_P1_MMD1-84B_L001	CD8T
B5_P2_MMD1-84B_L001	Tprolif
B5_P3_MMD1-84B_L001	CD8T
B5_P4_MMD1-84B_L001	CD8T
B6_P2_MMD1-84B_L001	CD8T
B7_P1_MMD1-84B_L001	CD8T
B7_P4_MMD1-84B_L001	CD8T
B8_P1_MMD1-84B_L001	CD8T
B8_P3_MMD1-84B_L001	CD8T
B8_P4_MMD1-84B_L001	CD8T
C10_P4_MMD1-84B_L001	CD8T
C11_P3_MMD1-84B_L001	CD8T
C11_P4_MMD1-84B_L001	CD8T
C12_P2_MMD1-84B_L001	CD4_Glyco_lo
C12_P3_MMD1-84B_L001	CD8T
C1_P1_MMD1-84B_L001	CD8T
C1_P4_MMD1-84B_L001	Tprolif
C2_P1_MMD1-84B_L001	CD8T
C2_P4_MMD1-84B_L001	CD8T
C3_P3_MMD1-84B_L001	CD8T
C3_P4_MMD1-84B_L001	MonoMacro
C4_P1_MMD1-84B_L001	CD8T
C4_P2_MMD1-84B_L001	CD4_Glyco_lo
C4_P3_MMD1-84B_L001	B
C5_P1_MMD1-84B_L001	CD8T
C5_P3_MMD1-84B_L001	CD4_Glyco_lo
C5_P4_MMD1-84B_L001	CD8T
C6_P1_MMD1-84B_L001	CD4_Glyco_lo
C6_P2_MMD1-84B_L001	CD4_Glyco_hi
C6_P3_MMD1-84B_L001	CD8T
C6_P4_MMD1-84B_L001	CD8T
C7_P1_MMD1-84B_L001	CD4_Glyco_hi
C7_P2_MMD1-84B_L001	CD8T
C7_P3_MMD1-84B_L001	Tprolif
C7_P4_MMD1-84B_L001	CD4_Glyco_lo
C8_P3_MMD1-84B_L001	CD8T
C8_P4_MMD1-84B_L001	CD8T
C9_P1_MMD1-84B_L001	CD8T
C9_P3_MMD1-84B_L001	CD8T
C9_P4_MMD1-84B_L001	CD8T
D10_P1_MMD1-84B_L001	CD8T
D10_P2_MMD1-84B_L001	CD8T
D10_P3_MMD1-84B_L001	CD4_Glyco_lo
D11_P1_MMD1-84B_L001	CD8T
D11_P2_MMD1-84B_L001	CD8T
D11_P3_MMD1-84B_L001	CD8T
D11_P4_MMD1-84B_L001	CD8T
D12_P2_MMD1-84B_L001	CD8T
D12_P3_MMD1-84B_L001	CD8T
D1_P1_MMD1-84B_L001	CD8T
D1_P2_MMD1-84B_L001	CD8T
D1_P3_MMD1-84B_L001	CD8T
D2_P2_MMD1-84B_L001	CD4_Glyco_hi
D2_P3_MMD1-84B_L001	CD4_Glyco_lo
D2_P4_MMD1-84B_L001	CD8T
D3_P1_MMD1-84B_L001	CD4_Glyco_lo
D3_P4_MMD1-84B_L001	CD8T
D4_P1_MMD1-84B_L001	CD4_Glyco_hi
D4_P2_MMD1-84B_L001	CD8T
D4_P4_MMD1-84B_L001	CD8T
D5_P2_MMD1-84B_L001	CD4_Glyco_lo
D5_P3_MMD1-84B_L001	CD4_Glyco_hi
D5_P4_MMD1-84B_L001	CD4_Glyco_hi
D6_P1_MMD1-84B_L001	CD8T
D6_P2_MMD1-84B_L001	CD4_Glyco_hi
D6_P3_MMD1-84B_L001	CD4_Glyco_hi
D6_P4_MMD1-84B_L001	CD8T
D7_P1_MMD1-84B_L001	CD8T
D7_P2_MMD1-84B_L001	Tprolif
D7_P3_MMD1-84B_L001	CD4_Glyco_hi
D8_P1_MMD1-84B_L001	CD8T
D8_P2_MMD1-84B_L001	CD8T
D8_P3_MMD1-84B_L001	CD8T
D8_P4_MMD1-84B_L001	CD8T
D9_P1_MMD1-84B_L001	CD8T
D9_P3_MMD1-84B_L001	CD8T
D9_P4_MMD1-84B_L001	CD4_Glyco_lo
E10_P1_MMD1-84B_L001	CD8T
E10_P3_MMD1-84B_L001	CD8T
E10_P4_MMD1-84B_L001	CD8T
E11_P3_MMD1-84B_L001	CD8T
E11_P4_MMD1-84B_L001	CD8T
E12_P1_MMD1-84B_L001	CD8T
E12_P2_MMD1-84B_L001	CD8T
E12_P4_MMD1-84B_L001	CD8T
E1_P1_MMD1-84B_L001	CD8T
E1_P2_MMD1-84B_L001	CD8T
E1_P3_MMD1-84B_L001	CD8T
E1_P4_MMD1-84B_L001	Tprolif
E2_P3_MMD1-84B_L001	CD8T
E3_P4_MMD1-84B_L001	CD4_Glyco_lo
E4_P1_MMD1-84B_L001	CD8T
E4_P2_MMD1-84B_L001	CD8T
E4_P4_MMD1-84B_L001	CD8T
E5_P1_MMD1-84B_L001	CD4_Glyco_hi
E5_P2_MMD1-84B_L001	CD8T
E5_P3_MMD1-84B_L001	CD4_Glyco_lo
E5_P4_MMD1-84B_L001	CD8T
E6_P1_MMD1-84B_L001	CD8T
E6_P4_MMD1-84B_L001	CD8T
E7_P1_MMD1-84B_L001	CD8T
E7_P2_MMD1-84B_L001	CD8T
E7_P3_MMD1-84B_L001	CD8T
E7_P4_MMD1-84B_L001	CD8T
E8_P1_MMD1-84B_L001	CD4_Glyco_hi
E8_P2_MMD1-84B_L001	CD8T
E9_P1_MMD1-84B_L001	CD8T
E9_P2_MMD1-84B_L001	CD8T
E9_P3_MMD1-84B_L001	Tprolif
F10_P1_MMD1-84B_L001	CD8T
F10_P3_MMD1-84B_L001	CD8T
F10_P4_MMD1-84B_L001	CD4_Glyco_hi
F12_P1_MMD1-84B_L001	CD8T
F12_P3_MMD1-84B_L001	CD8T
F1_P1_MMD1-84B_L001	CD8T
F1_P2_MMD1-84B_L001	CD8T
F1_P4_MMD1-84B_L001	CD4_Glyco_lo
F2_P3_MMD1-84B_L001	CD8T
F3_P1_MMD1-84B_L001	CD4_Glyco_hi
F3_P2_MMD1-84B_L001	CD8T
F3_P3_MMD1-84B_L001	CD4_Glyco_hi
F4_P2_MMD1-84B_L001	CD4_Glyco_hi
F4_P3_MMD1-84B_L001	CD8T
F5_P2_MMD1-84B_L001	CD4_Glyco_lo
F5_P3_MMD1-84B_L001	CD8T
F5_P4_MMD1-84B_L001	CD8T
F6_P2_MMD1-84B_L001	MonoMacro
F7_P1_MMD1-84B_L001	CD8T
F7_P2_MMD1-84B_L001	CD4_Glyco_hi
F7_P4_MMD1-84B_L001	CD8T
F8_P1_MMD1-84B_L001	CD8T
F8_P3_MMD1-84B_L001	CD8T
F9_P1_MMD1-84B_L001	CD8T
F9_P3_MMD1-84B_L001	CD4_Glyco_lo
F9_P4_MMD1-84B_L001	MonoMacro
G10_P1_MMD1-84B_L001	CD4_Glyco_lo
G10_P2_MMD1-84B_L001	CD8T
G10_P4_MMD1-84B_L001	CD8T
G11_P1_MMD1-84B_L001	CD8T
G11_P2_MMD1-84B_L001	CD4_Glyco_hi
G11_P3_MMD1-84B_L001	CD4_Glyco_lo
G12_P1_MMD1-84B_L001	CD8T
G12_P3_MMD1-84B_L001	CD8T
G12_P4_MMD1-84B_L001	CD8T
G1_P1_MMD1-84B_L001	CD4_Glyco_hi
G1_P2_MMD1-84B_L001	CD8T
G1_P4_MMD1-84B_L001	Tprolif
G2_P1_MMD1-84B_L001	CD8T
G2_P2_MMD1-84B_L001	CD8T
G2_P3_MMD1-84B_L001	CD8T
G2_P4_MMD1-84B_L001	CD8T
G3_P2_MMD1-84B_L001	CD8T
G3_P3_MMD1-84B_L001	CD4_Glyco_hi
G3_P4_MMD1-84B_L001	CD8T
G4_P3_MMD1-84B_L001	CD8T
G5_P1_MMD1-84B_L001	CD8T
G5_P2_MMD1-84B_L001	CD8T
G5_P3_MMD1-84B_L001	CD4_Glyco_hi
G5_P4_MMD1-84B_L001	CD8T
G6_P3_MMD1-84B_L001	CD8T
G6_P4_MMD1-84B_L001	CD8T
G7_P2_MMD1-84B_L001	CD8T
G7_P4_MMD1-84B_L001	CD4_Glyco_hi
G8_P2_MMD1-84B_L001	CD8T
G8_P3_MMD1-84B_L001	CD8T
G9_P2_MMD1-84B_L001	CD4_Glyco_hi
G9_P3_MMD1-84B_L001	CD8T
G9_P4_MMD1-84B_L001	CD8T
H10_P1_MMD1-84B_L001	CD8T
H10_P2_MMD1-84B_L001	CD8T
H10_P4_MMD1-84B_L001	CD8T
H11_P1_MMD1-84B_L001	CD8T
H11_P2_MMD1-84B_L001	CD8T
H11_P4_MMD1-84B_L001	CD8T
H12_P2_MMD1-84B_L001	CD8T
H12_P3_MMD1-84B_L001	CD8T
H12_P4_MMD1-84B_L001	CD8T
H1_P1_MMD1-84B_L001	CD4_Glyco_hi
H1_P2_MMD1-84B_L001	CD8T
H1_P3_MMD1-84B_L001	CD8T
H1_P4_MMD1-84B_L001	Plasma
H2_P2_MMD1-84B_L001	CD8T
H2_P4_MMD1-84B_L001	CD8T
H3_P1_MMD1-84B_L001	CD8T
H3_P2_MMD1-84B_L001	CD8T
H3_P3_MMD1-84B_L001	CD8T
H4_P1_MMD1-84B_L001	CD4_Glyco_hi
H4_P2_MMD1-84B_L001	CD8T
H4_P3_MMD1-84B_L001	CD8T
H5_P2_MMD1-84B_L001	CD4_Glyco_lo
H5_P3_MMD1-84B_L001	CD8T
H6_P1_MMD1-84B_L001	Tprolif
H6_P2_MMD1-84B_L001	CD8T
H6_P3_MMD1-84B_L001	CD8T
H7_P1_MMD1-84B_L001	CD8T
H7_P2_MMD1-84B_L001	CD8T
H7_P4_MMD1-84B_L001	CD8T
H8_P2_MMD1-84B_L001	CD8T
H8_P3_MMD1-84B_L001	CD8T
H8_P4_MMD1-84B_L001	CD8T
H9_P1_MMD1-84B_L001	CD8T
H9_P2_MMD1-84B_L001	CD8T
A10_P3_M67_L001	Tprolif
A11_P1_M67_L001	Tprolif
A11_P3_M67_L001	CD8T
A11_P4_M67_L001	pDC
A12_P2_M67_L001	Tprolif
A12_P3_M67_L001	MonoMacro
A12_P4_M67_L001	pDC
A2_P1_M67_L001	Tprolif
A2_P3_M67_L001	Tprolif
A2_P4_M67_L001	MonoMacro
A3_P1_M67_L001	MonoMacro
A3_P2_M67_L001	B
A4_P1_M67_L001	CD4_Glyco_hi
A4_P2_M67_L001	CD8T
A4_P3_M67_L001	B
A5_P1_M67_L001	Tprolif
A5_P2_M67_L001	Tprolif
A5_P3_M67_L001	CD4_Glyco_lo
A6_P2_M67_L001	CD4_Glyco_lo
A6_P3_M67_L001	Tprolif
A6_P4_M67_L001	pDC
A7_P2_M67_L001	Tprolif
A7_P3_M67_L001	MonoMacro
A7_P4_M67_L001	CD8T
A8_P1_M67_L001	MonoMacro
A8_P2_M67_L001	Tprolif
A9_P2_M67_L001	Tprolif
A9_P3_M67_L001	MonoMacro
A9_P4_M67_L001	MonoMacro
B10_P3_M67_L001	MonoMacro
B10_P4_M67_L001	Tprolif
B11_P1_M67_L001	Tprolif
B11_P3_M67_L001	B
B11_P4_M67_L001	CD8T
B12_P1_M67_L001	Tprolif
B12_P2_M67_L001	pDC
B12_P4_M67_L001	Tprolif
B1_P1_M67_L001	CD8T
B1_P4_M67_L001	Tprolif
B2_P2_M67_L001	Tprolif
B2_P4_M67_L001	MonoMacro
B3_P1_M67_L001	MonoMacro
B3_P2_M67_L001	pDC
B3_P3_M67_L001	pDC
B3_P4_M67_L001	Plasma
B4_P1_M67_L001	Tprolif
B4_P2_M67_L001	Tprolif
B4_P3_M67_L001	MonoMacro
B4_P4_M67_L001	Tprolif
B5_P1_M67_L001	CD8T
B5_P2_M67_L001	B
B5_P3_M67_L001	CD4_Glyco_lo
B6_P1_M67_L001	Tprolif
B6_P2_M67_L001	MonoMacro
B6_P3_M67_L001	Tprolif
B6_P4_M67_L001	MonoMacro
B7_P2_M67_L001	Tprolif
B7_P3_M67_L001	Tprolif
B7_P4_M67_L001	MonoMacro
B8_P1_M67_L001	MonoMacro
B8_P2_M67_L001	Tprolif
B8_P3_M67_L001	Tprolif
B8_P4_M67_L001	MonoMacro
B9_P1_M67_L001	MonoMacro
B9_P2_M67_L001	Tprolif
B9_P4_M67_L001	MonoMacro
C10_P2_M67_L001	Tprolif
C10_P3_M67_L001	CD8T
C11_P1_M67_L001	Tprolif
C11_P2_M67_L001	Tprolif
C11_P3_M67_L001	Tprolif
C11_P4_M67_L001	pDC
C12_P2_M67_L001	Tprolif
C12_P3_M67_L001	MonoMacro
C12_P4_M67_L001	pDC
C1_P1_M67_L001	B
C1_P2_M67_L001	pDC
C1_P3_M67_L001	Tprolif
C2_P1_M67_L001	Tprolif
C2_P2_M67_L001	MonoMacro
C3_P1_M67_L001	pDC
C3_P3_M67_L001	Tprolif
C4_P2_M67_L001	MonoMacro
C4_P3_M67_L001	B
C4_P4_M67_L001	Tprolif
C5_P2_M67_L001	Tprolif
C5_P3_M67_L001	MonoMacro
C6_P2_M67_L001	Tprolif
C7_P1_M67_L001	pDC
C7_P2_M67_L001	B
C8_P1_M67_L001	Tprolif
C8_P2_M67_L001	Tprolif
C8_P3_M67_L001	MonoMacro
C8_P4_M67_L001	Tprolif
C9_P1_M67_L001	NK
C9_P2_M67_L001	Plasma
C9_P3_M67_L001	CD4_Glyco_hi
D10_P1_M67_L001	CD8T
D10_P2_M67_L001	Tprolif
D10_P3_M67_L001	Tprolif
D10_P4_M67_L001	MonoMacro
D11_P1_M67_L001	Tprolif
D11_P2_M67_L001	MonoMacro
D11_P3_M67_L001	MonoMacro
D11_P4_M67_L001	MonoMacro
D12_P2_M67_L001	Tprolif
D12_P4_M67_L001	MonoMacro
D1_P1_M67_L001	CD4_Glyco_lo
D1_P3_M67_L001	CD8T
D1_P4_M67_L001	MonoMacro
D2_P1_M67_L001	Tprolif
D2_P3_M67_L001	pDC
D2_P4_M67_L001	MonoMacro
D3_P1_M67_L001	Plasma
D3_P2_M67_L001	pDC
D3_P3_M67_L001	Tprolif
D4_P1_M67_L001	Tprolif
D4_P3_M67_L001	pDC
D4_P4_M67_L001	MonoMacro
D5_P2_M67_L001	Tprolif
D5_P4_M67_L001	CD4_Glyco_lo
D6_P1_M67_L001	MonoMacro
D6_P2_M67_L001	CD8T
D6_P3_M67_L001	CD8T
D6_P4_M67_L001	CD4_Glyco_hi
D7_P1_M67_L001	Tprolif
D7_P2_M67_L001	CD4_Glyco_lo
D7_P3_M67_L001	CD4_Glyco_hi
D7_P4_M67_L001	Tprolif
D8_P1_M67_L001	CD4_Glyco_lo
D8_P3_M67_L001	Tprolif
D8_P4_M67_L001	Tprolif
D9_P1_M67_L001	Tprolif
D9_P2_M67_L001	Tprolif
D9_P3_M67_L001	Tprolif
D9_P4_M67_L001	pDC
E10_P2_M67_L001	Tprolif
E10_P3_M67_L001	Tprolif
E11_P3_M67_L001	CD8T
E11_P4_M67_L001	MonoMacro
E12_P1_M67_L001	Tprolif
E12_P3_M67_L001	MonoMacro
E12_P4_M67_L001	MonoMacro
E1_P1_M67_L001	MonoMacro
E1_P3_M67_L001	Tprolif
E1_P4_M67_L001	pDC
E2_P3_M67_L001	MonoMacro
E2_P4_M67_L001	CD8T
E3_P2_M67_L001	Tprolif
E3_P3_M67_L001	MonoMacro
E3_P4_M67_L001	MonoMacro
E4_P1_M67_L001	Tprolif
E4_P3_M67_L001	Tprolif
E5_P1_M67_L001	Tprolif
E5_P2_M67_L001	B
E5_P3_M67_L001	pDC
E5_P4_M67_L001	Tprolif
E6_P2_M67_L001	Tprolif
E6_P3_M67_L001	MonoMacro
E6_P4_M67_L001	CD4_Glyco_hi
E7_P1_M67_L001	MonoMacro
E7_P2_M67_L001	MonoMacro
E7_P3_M67_L001	Tprolif
E7_P4_M67_L001	MonoMacro
E8_P2_M67_L001	Tprolif
E8_P3_M67_L001	Tprolif
E8_P4_M67_L001	Tprolif
E9_P1_M67_L001	CD8T
E9_P3_M67_L001	Tprolif
E9_P4_M67_L001	Plasma
F10_P3_M67_L001	MonoMacro
F11_P1_M67_L001	CD8T
F11_P3_M67_L001	Tprolif
F11_P4_M67_L001	pDC
F12_P1_M67_L001	Tprolif
F12_P4_M67_L001	pDC
F1_P1_M67_L001	CD8T
F1_P3_M67_L001	MonoMacro
F2_P2_M67_L001	CD8T
F2_P3_M67_L001	CD4_Glyco_lo
F3_P1_M67_L001	Plasma
F3_P2_M67_L001	CD8T
F3_P3_M67_L001	Tprolif
F4_P1_M67_L001	pDC
F4_P2_M67_L001	Plasma
F4_P3_M67_L001	Tprolif
F5_P2_M67_L001	pDC
F5_P4_M67_L001	Plasma
F6_P1_M67_L001	Tprolif
F6_P2_M67_L001	pDC
F6_P3_M67_L001	Tprolif
F6_P4_M67_L001	CD8T
F7_P1_M67_L001	MonoMacro
F7_P2_M67_L001	B
F7_P3_M67_L001	CD4_Glyco_hi
F8_P2_M67_L001	MonoMacro
F9_P1_M67_L001	Tprolif
F9_P3_M67_L001	MonoMacro
G10_P1_M67_L001	CD8T
G10_P2_M67_L001	Tprolif
G10_P3_M67_L001	CD4_Glyco_lo
G10_P4_M67_L001	Tprolif
G11_P1_M67_L001	Tprolif
G11_P2_M67_L001	CD8T
G11_P3_M67_L001	MonoMacro
G12_P2_M67_L001	B
G12_P3_M67_L001	Tprolif
G12_P4_M67_L001	pDC
G1_P1_M67_L001	CD4_Glyco_hi
G2_P1_M67_L001	Tprolif
G2_P3_M67_L001	Tprolif
G2_P4_M67_L001	MonoMacro
G3_P2_M67_L001	pDC
G3_P3_M67_L001	Tprolif
G3_P4_M67_L001	CD4_Glyco_hi
G4_P1_M67_L001	Tprolif
G4_P2_M67_L001	MonoMacro
G4_P3_M67_L001	Plasma
G5_P2_M67_L001	CD4_Glyco_hi
G5_P3_M67_L001	Tprolif
G6_P1_M67_L001	Tprolif
G6_P4_M67_L001	CD4_Glyco_hi
G7_P1_M67_L001	Tprolif
G7_P2_M67_L001	pDC
G7_P3_M67_L001	Tprolif
G7_P4_M67_L001	MonoMacro
G8_P2_M67_L001	MonoMacro
G8_P4_M67_L001	CD4_Glyco_hi
G9_P1_M67_L001	pDC
H11_P1_M67_L001	pDC
H12_P1_M67_L001	Tprolif
H12_P2_M67_L001	CD8T
H12_P4_M67_L001	pDC
H1_P1_M67_L001	CD8T
H1_P4_M67_L001	CD8T
H3_P1_M67_L001	MonoMacro
H3_P4_M67_L001	pDC
H4_P1_M67_L001	pDC
H6_P4_M67_L001	pDC
H7_P1_M67_L001	Tprolif
H7_P4_M67_L001	pDC
H8_P4_M67_L001	Tprolif
H9_P4_M67_L001	MonoMacro
A10_P7_M63-B1	CD8T
A10_P8_M63-B1	CD8T
A11_P6_M63-B1	NK
A11_P8_M63-B1	CD4_Glyco_hi
A11_P9_M63-B1	CD8T
A12_P7_M63-B1	CD8T
A12_P8_M63-B1	CD4_Glyco_lo
A2_P6_M63-B1	CD8T
A2_P8_M63-B1	CD8T
A2_P9_M63-B1	CD8T
A3_P7_M63-B1	NK
A3_P8_M63-B1	CD4_Glyco_hi
A3_P9_M63-B1	MonoMacro
A4_P7_M63-B1	CD8T
A4_P8_M63-B1	CD8T
A5_P6_M63-B1	NK
A5_P8_M63-B1	CD8T
A6_P9_M63-B1	CD8T
A7_P6_M63-B1	NK
A8_P7_M63-B1	MonoMacro
A9_P6_M63-B1	CD8T
A9_P7_M63-B1	MonoMacro
A9_P9_M63-B1	CD8T
B10_P6_M63-B1	MonoMacro
B10_P7_M63-B1	MonoMacro
B11_P6_M63-B1	CD8T
B11_P8_M63-B1	CD8T
B12_P8_M63-B1	CD8T
B12_P9_M63-B1	NK
B1_P9_M63-B1	CD8T
B2_P8_M63-B1	CD8T
B3_P6_M63-B1	CD8T
B3_P9_M63-B1	CD8T
B4_P7_M63-B1	MonoMacro
B4_P8_M63-B1	CD8T
B4_P9_M63-B1	CD8T
B5_P7_M63-B1	NK
B5_P9_M63-B1	CD8T
B6_P8_M63-B1	CD8T
B7_P9_M63-B1	CD8T
B8_P6_M63-B1	CD4_Glyco_lo
B8_P7_M63-B1	B
B8_P8_M63-B1	CD8T
B9_P7_M63-B1	CD8T
B9_P8_M63-B1	NK
B9_P9_M63-B1	CD8T
C11_P6_M63-B1	CD8T
C11_P7_M63-B1	CD8T
C11_P9_M63-B1	CD8T
C12_P9_M63-B1	CD8T
C1_P7_M63-B1	MonoMacro
C2_P8_M63-B1	CD4_Glyco_hi
C3_P9_M63-B1	CD8T
C5_P7_M63-B1	CD4_Glyco_lo
C5_P9_M63-B1	CD8T
C6_P7_M63-B1	CD8T
C6_P8_M63-B1	CD8T
C7_P8_M63-B1	CD8T
C8_P8_M63-B1	CD8T
C9_P9_M63-B1	CD8T
D10_P7_M63-B1	Tprolif
D10_P9_M63-B1	CD8T
D11_P6_M63-B1	CD4_Glyco_lo
D11_P8_M63-B1	CD4_Glyco_hi
D11_P9_M63-B1	CD8T
D12_P6_M63-B1	CD4_Glyco_lo
D12_P7_M63-B1	MonoMacro
D12_P8_M63-B1	CD8T
D1_P6_M63-B1	MonoMacro
D1_P8_M63-B1	CD4_Glyco_lo
D1_P9_M63-B1	CD8T
D2_P6_M63-B1	NK
D3_P7_M63-B1	CD8T
D3_P9_M63-B1	CD8T
D5_P6_M63-B1	MonoMacro
D5_P7_M63-B1	MonoMacro
D5_P9_M63-B1	CD8T
D6_P8_M63-B1	CD8T
D7_P6_M63-B1	Tprolif
D7_P7_M63-B1	MonoMacro
D8_P9_M63-B1	CD8T
D9_P6_M63-B1	NK
E10_P6_M63-B1	CD8T
E10_P8_M63-B1	CD8T
E10_P9_M63-B1	CD8T
E11_P7_M63-B1	B
E12_P7_M63-B1	pDC
E12_P8_M63-B1	CD8T
E1_P8_M63-B1	CD8T
E1_P9_M63-B1	NK
E2_P6_M63-B1	CD8T
E4_P7_M63-B1	CD8T
E5_P8_M63-B1	CD8T
E5_P9_M63-B1	CD8T
E6_P7_M63-B1	CD8T
E6_P9_M63-B1	NK
E7_P6_M63-B1	CD8T
E7_P8_M63-B1	CD8T
E9_P7_M63-B1	CD8T
F10_P7_M63-B1	MonoMacro
F10_P8_M63-B1	CD8T
F11_P6_M63-B1	NK
F11_P7_M63-B1	B
F11_P8_M63-B1	CD4_Glyco_lo
F12_P6_M63-B1	CD8T
F12_P7_M63-B1	MonoMacro
F12_P8_M63-B1	MonoMacro
F12_P9_M63-B1	CD8T
F1_P6_M63-B1	CD8T
F1_P7_M63-B1	MonoMacro
F1_P8_M63-B1	CD8T
F2_P6_M63-B1	CD4_Glyco_hi
F2_P8_M63-B1	CD8T
F3_P7_M63-B1	MonoMacro
F3_P9_M63-B1	CD8T
F5_P6_M63-B1	CD8T
F6_P6_M63-B1	CD8T
F6_P8_M63-B1	CD8T
F7_P7_M63-B1	MonoMacro
F8_P7_M63-B1	NK
F8_P8_M63-B1	MonoMacro
F9_P7_M63-B1	NK
F9_P8_M63-B1	CD8T
G10_P8_M63-B1	NK
G10_P9_M63-B1	CD8T
G11_P9_M63-B1	Tprolif
G12_P6_M63-B1	CD8T
G12_P9_M63-B1	CD8T
G1_P8_M63-B1	CD8T
G5_P6_M63-B1	CD8T
G8_P7_M63-B1	NK
G8_P8_M63-B1	CD4_Glyco_hi
G8_P9_M63-B1	CD8T
G9_P6_M63-B1	CD8T
H10_P6_M63-B1	CD8T
H10_P7_M63-B1	CD8T
H10_P9_M63-B1	CD8T
H11_P7_M63-B1	CD8T
H11_P8_M63-B1	CD8T
H1_P9_M63-B1	CD8T
H2_P6_M63-B1	NK
H2_P8_M63-B1	CD8T
H3_P7_M63-B1	MonoMacro
H3_P9_M63-B1	NK
H4_P8_M63-B1	CD8T
H5_P6_M63-B1	CD8T
H5_P7_M63-B1	CD4_Glyco_hi
H5_P9_M63-B1	MonoMacro
H6_P6_M63-B1	CD8T
H7_P6_M63-B1	NK
H7_P7_M63-B1	CD8T
H7_P9_M63-B1	CD4_Glyco_lo
H8_P6_M63-B1	CD8T
H8_P7_M63-B1	CD8T
H8_P9_M63-B1	CD8T
H9_P7_M63-B1	CD4_Glyco_hi
H9_P8_M63-B1	MonoMacro
A10_P10_MMD5_L001	CD8T
A10_P11_MMD5_L001	B
A10_P9_MMD5_L001	B
A11_P10_MMD5_L001	B
A11_P11_MMD5_L001	CD8T
A11_P3_MMD5_L001	B
A12_P10_MMD5_L001	B
A12_P11_MMD5_L001	B
A2_P10_MMD5_L001	B
A2_P11_MMD5_L001	CD4_Glyco_hi
A2_P3_MMD5_L001	B
A2_P9_MMD5_L001	B
A3_P11_MMD5_L001	CD8T
A3_P3_MMD5_L001	Plasma
A3_P9_MMD5_L001	B
A4_P10_MMD5_L001	CD8T
A4_P3_MMD5_L001	Plasma
A4_P9_MMD5_L001	CD8T
A5_P10_MMD5_L001	CD8T
A6_P10_MMD5_L001	B
A6_P11_MMD5_L001	B
A6_P9_MMD5_L001	CD8T
A7_P10_MMD5_L001	CD8T
A7_P11_MMD5_L001	CD4_Glyco_hi
A7_P3_MMD5_L001	B
A7_P9_MMD5_L001	CD8T
A8_P10_MMD5_L001	B
A8_P11_MMD5_L001	B
A8_P9_MMD5_L001	B
A9_P3_MMD5_L001	B
A9_P9_MMD5_L001	CD8T
B10_P10_MMD5_L001	B
B10_P11_MMD5_L001	CD8T
B10_P3_MMD5_L001	CD4_Glyco_hi
B11_P10_MMD5_L001	B
B11_P11_MMD5_L001	B
B11_P9_MMD5_L001	B
B12_P11_MMD5_L001	CD8T
B12_P3_MMD5_L001	MonoMacro
B1_P10_MMD5_L001	CD4_Glyco_lo
B1_P11_MMD5_L001	B
B1_P3_MMD5_L001	B
B2_P10_MMD5_L001	B
B2_P3_MMD5_L001	MonoMacro
B2_P9_MMD5_L001	CD8T
B3_P10_MMD5_L001	CD8T
B3_P11_MMD5_L001	CD8T
B3_P9_MMD5_L001	CD4_Glyco_hi
B4_P10_MMD5_L001	CD8T
B4_P11_MMD5_L001	B
B4_P9_MMD5_L001	B
