sample	patient	timepoint	n_CD4	ZFYVE19	SMC2	SPSB2	TPI1	HLA-C	KIAA0040	ProlifScore	ExhaustScore
Post_P6	P6	Post	54	1.03345156677975	2.71294353438804	0.738500506153526	5.8722203046001	6.228175333916	1.37169916437253	2.53283768115787	2.90037469629819
Post_P6_T_enriched	P6_T_enriched	Post	12	0.464818703804541	2.88900974365468	0	5.74088708823328	5.85705913413214	2.75319654692087	2.33135600544127	3.19116714493326
Post_P7	P7	Post	50	0.323484382550147	0.43890744546329	0.359458727326266	4.07974732145948	6.54165841479781	0.95214508698891	0.86628355843158	2.39976708945217
Post_P8	P8	Post	66	0.945487608897138	0.0816519600562462	0.0815003997314094	2.57105444986711	6.69221722758438	0.36659765889553	0.357648141016086	2.00614933778225
Post_P8_T_enriched	P8_T_enriched	Post	10	0	0.50428871130631	0	5.02147691238424	6.47949659228718	0.64386048489002	1.00432716851542	2.36142307711162
Pre_P1	P1	Pre	55	0.333730009958478	0.414446793834829	0	3.52304695422134	6.322970109493	0.754576181922595	0.447289580284301	2.08239101549407
Pre_P12	P12	Pre	67	1.03943427527662	0.364128991190168	0.562631691874616	4.92668164264952	6.65886341532545	1.07023804652633	0.274831584904758	1.69759920334648
Pre_P15	P15	Pre	64	0.283868303650687	0.264697124095364	0.29749874464507	4.77439864265953	6.72563682817043	0.395380085606674	0.422345743141742	2.07015051083744
Pre_P2	P2	Pre	58	0.107929085874447	0.513537197939793	0.107831622642177	5.12584838363944	6.59435485087535	0.833672166961673	0.68928409103488	3.39904518471887
Pre_P20	P20	Pre	117	0.75803552157573	1.04835147700744	0.562212632978025	5.16343348919388	6.55884150696543	0.901471927989464	1.05349919424511	3.20379437566081
Pre_P24	P24	Pre	110	0.525071419188906	0.554419039530334	0.403269589121511	3.45156703419727	6.70966050700441	1.00709623435618	0.326644479321626	0.791235920521072
Pre_P25	P25	Pre	80	0.44600009876959	0.22308870903433	0	4.27380038313835	6.70301679700988	0.632724939840573	0.365072477249626	2.54801351478535
Pre_P26	P26	Pre	37	0.715879771307653	0.337692212587731	0.52149717010395	4.03830289141021	6.64580360327734	0.579700545705263	0.560656586775564	1.32773505176031
Pre_P27	P27	Pre	72	0.974280956196262	0.342018876921372	0.181636909362351	4.64858252272271	6.54744600301337	0.811144006191136	0.488309752495737	3.27838920068412
Pre_P28	P28	Pre	125	0.505990605533249	0.0989011773857924	0.338145350661192	3.59840891743908	6.58239408299096	0.968557943453865	0.221222529629483	1.36601705890697
Pre_P29	P29	Pre	41	0.310028060777281	0.429174038683582	0	4.29740312450957	6.57412281256637	0.877306616181487	0.554119212772311	2.53267116775261
Pre_P3	P3	Pre	46	0.665625529640211	0.325332598427785	0.843364987497487	3.04897243117947	6.42087504643211	1.05584965625176	0.840719455895785	1.195219478337
Pre_P31	P31	Pre	68	0.637443464762627	0.859410677490267	0.258457874998328	5.16639645142382	6.64258173059585	0.523586707183821	0.915359345892259	3.06166231256398
Pre_P33	P33	Pre	166	0.38474154198528	0.264524959703229	0.412573522278791	3.02039729318364	6.60408523755659	0.876660432340958	0.206278735159981	1.57259545381213
Pre_P35	P35	Pre	34	0.768911715521722	0.362118319954935	0.190806937431278	3.71495910360175	6.66172054566995	0.380646812895816	0.20372525359936	1.87542447099158
Pre_P4	P4	Pre	51	0.191641672027237	1.22959642923919	0.440929526611684	3.44873042010337	6.52568248017087	1.55009271577781	0.855602392756101	2.44226184078453
Pre_P6	P6	Pre	77	1.14704705614138	1.90456558754872	0.807150422646107	5.51371823233056	6.24716433125499	1.26307150880392	2.14561638237253	2.43629943950637
Pre_P7	P7	Pre	129	0.205251802193367	0.126310981245075	0.436679760107827	3.36743830901405	6.7090414379022	0.344285075113522	0.170224577874056	1.64713215107936
Pre_P8	P8	Pre	54	0.118658442350132	0.5167032688228	0.099861009556321	2.03323989659407	6.67549952516185	0.571521644633021	0.2830253735062	0.771867233079315
