gene	set1	set2	set3	set4	mean_lfc	n_pos	consistent	detect
PSMB6	0.2195886015645845	0.6361089473809851	0.5067784750205008	0.769628223558249	0.5330260618810798	4	True	0.18117356900626863
SLC25A6	0.36877799314723714	0.6291640542509057	0.44416135159366654	0.6877607587253419	0.5324660394292878	4	True	0.24456384854336327
CORO1A	0.3831686101250304	0.5998834791624307	0.45345413983068655	0.6894913274719033	0.5314993891475127	4	True	0.26202669801024264
KPNA2	0.3099321075692867	0.6061105025575716	0.5942556721355667	0.6133189741977203	0.5309043141150364	4	True	0.14561709998972355
ODC1	0.20111957325782265	0.9258308292388399	0.5176777552705757	0.4758800220285242	0.5301270449489406	4	True	0.29267290103792004
RACK1	0.308737489810258	0.6976102781234285	0.4429976271708307	0.6710850701359958	0.5301076163101283	4	True	0.6128866509094646
EIF3I	0.3124387874576059	0.687540161590171	0.5286577885109613	0.5849234665576091	0.5283900510290869	4	True	0.2019319699928065
CSNK2B	0.22708388563855705	0.6659842350195708	0.49989604832681156	0.7199074699018304	0.5282179097216925	4	True	0.10318193266728234
POP7	0.2552667540742967	0.6704304308524739	0.417944790206197	0.764589670585554	0.5270579114296304	4	True	0.05154898833011502
ACTG1	0.26931276928278014	0.6200705536580469	0.5341371208753354	0.6843689858506374	0.5269723574167	4	True	0.49601208966501553
APRT	0.27905730749589785	0.6725590696564879	0.46953991151038366	0.6835276193057805	0.5261709769921376	4	True	0.2524557132062799
HMGA1	0.2874333034490038	0.7803517407807322	0.5349487632967865	0.5005289141383382	0.5258156804162153	4	True	0.16370362758195459
PCNA	0.31011823015263124	0.7017494908829078	0.5004154799004321	0.5907421270056901	0.5257563319854153	4	True	0.13492960641249616
CCDC85B	0.16457163304338773	0.5257801185335707	0.604471798427822	0.8080579294156617	0.5257203698551105	4	True	0.09814457224414407
GADD45GIP1	0.32854559111214676	0.7297153720203574	0.47618946554202785	0.5677381980762495	0.5255471566876954	4	True	0.19477793636134666
GRWD1	0.34642897007843965	0.48534073902419067	0.5656069250515359	0.702199715521289	0.5248940874188638	4	True	0.08160523885484007
TNF	0.03246126440325224	0.649430738393929	0.7209006028717496	0.6920634626379523	0.5237140170767207	4	True	0.14231634949866995
HSP90AA1	0.28077442562269384	0.630784787127373	0.4916712411218316	0.6890995725150625	0.5230825065967403	4	True	0.8015620182920563
RPL7A	0.2580754711864037	0.6847074381106892	0.4515368415426248	0.6977788929274211	0.5230246609417848	4	True	0.6815332442708869
ILF2	0.3099399636520959	0.6044505563467543	0.5377957360247945	0.6369407327735386	0.5222817471992958	4	True	0.2526975644846367
ATP5MF	0.2008120342647564	0.7711212072770028	0.3931135909434207	0.7219577312741121	0.521751140939823	4	True	0.09831248425824868
PFDN6	0.22319999785433176	0.6477146576535286	0.5797322929453742	0.6350465536815174	0.521423375533688	4	True	0.10662412895642684
OAZ1	0.2833154621552921	0.7451988768935803	0.3944523537222425	0.6624533410123804	0.5213550084458738	4	True	0.3802367559398875
TRMT112	0.19598883643014098	0.7899684380461542	0.3949696785819678	0.7018661825431352	0.5206982839003496	4	True	0.2173621022584166
TUBB4B	0.16139838988160302	0.6400072378140358	0.5494902805664693	0.7316188527210845	0.5206286902457982	4	True	0.17798673495088574
SPRY1	0.2051089618618923	0.9516824985314745	0.4500748476632309	0.47560877083905123	0.5206187697239122	4	True	0.05003447256968384
POLR2I	0.07729670371225386	0.7452251884413412	0.45524805137426977	0.80269616451903	0.5201165270117237	4	True	0.07203425405087734
MCM2	0.3592067517206515	0.7611252931278476	0.41125606176505264	0.5426759109717483	0.5185660043963249	4	True	0.060836501901140684
PFDN2	0.29750851167348724	0.6439097839872957	0.5217946121135457	0.6092640162524953	0.518119231006706	4	True	0.3005857568595211
