spot	x	y	total_counts	n_genes	log_total	tumor	lymphoid	bcell	myeloid	stroma	glycolysis	prolif	TPI1	SMC2	ZFYVE19	SPSB2	HLA-C	KIAA0040	section	patient
15x7	15.0	7.0	6453	2861	3.809761665107125	0.6424195730587555	0.39213930170212574	1.107643576132683	0.29874638044357066	-0.05458199290122991	0.39030390790444636	-0.23392916158914753	2.331949791913331	0.0	0.0	0.0	3.1221594189173305	0.0	mel4_rep1	mel4
15x8	15.0	8.0	4089	2185	3.611617110554336	-0.0032225779891076447	0.8230951448472049	-0.16663620878676436	0.03474755350771446	-0.15483871714030992	-0.2526939854952351	-0.16836902351576072	2.377909876850108	0.0	0.0	0.0	2.582330396624255	0.0	mel4_rep1	mel4
15x9	15.0	9.0	6846	3069	3.8354368948018585	0.333568806753444	-0.0996866526193118	-0.16663620878676436	-0.5968063325633516	0.6672383717920501	0.2139303566760191	0.3435475836302191	1.9232010860627244	0.0	0.0	0.0	2.418138879075017	0.0	mel4_rep1	mel4
15x10	15.0	10.0	6254	2775	3.7961578769069146	-0.03636198155014608	-0.03705827502460769	-0.16663620878676436	-0.5283601387115021	-0.1204609607867253	0.15909956652787183	-0.2297588541846382	2.5008486140923387	0.0	1.757328461005078	0.0	2.000926687669531	0.0	mel4_rep1	mel4
15x11	15.0	11.0	3387	1849	3.5298151966446305	0.3885841067224051	-0.21294472058868794	-0.16663620878676436	-0.4950040048565386	0.6721002711210843	-0.10362722046934919	1.126552832950058	2.288222028823763	0.0	0.0	0.0	2.288222028823763	0.0	mel4_rep1	mel4
15x12	15.0	12.0	4152	2113	3.6182573448404014	-0.14220457101442693	0.1113051518415838	-0.16663620878676436	0.12357434970815795	0.12142644103518684	0.04489370310829221	0.0769833903044896	2.3640480802736126	0.0	0.0	0.0	3.1213203517117734	0.0	mel4_rep1	mel4
15x13	15.0	13.0	3740	2051	3.5728716022004803	0.054028715833599715	0.035583784072918505	-0.16663620878676436	0.4981872058955808	0.13013934909580555	0.2953109109472234	0.1617490109369669	1.8480757777550814	0.0	0.0	0.0	2.6650719917609047	0.0	mel4_rep1	mel4
16x2	16.0	2.0	11812	4166	4.072323438293041	0.4602402013818838	-0.21294472058868794	-0.16663620878676436	-0.474706835243546	-0.3490222628996346	0.22578507521858257	1.9110870228878998	1.9353079682342438	0.6133443131821389	0.0	0.0	3.4492723863017183	0.0	mel4_rep1	mel4
16x3	16.0	3.0	17376	5245	4.2399498079087525	0.39416028866646535	0.03710885643805184	0.8916985724338401	-0.08503728342784937	-0.18617611947045323	0.3838267429362237	1.2287829375713475	2.3231818294858693	0.0	0.45457677339831276	0.0	2.872981810134562	0.765938843454237	mel4_rep1	mel4
16x4	16.0	4.0	5989	2735	3.7773543130842087	0.5301022032858953	0.3063475173868758	-0.16663620878676436	-0.28201331315536987	-0.16795547402152244	0.1950059823578629	1.6745590111966748	2.664294927813643	0.0	0.0	0.0	2.540664139686513	0.0	mel4_rep1	mel4
16x5	16.0	5.0	5877	2775	3.7691556907143986	0.31686887196740443	-0.21294472058868794	-0.16663620878676436	-0.07504092199563013	0.11376031817018299	0.580581887064162	-0.04384682948715766	1.48230811565393	0.0	0.0	0.0	1.8090499940242668	0.0	mel4_rep1	mel4
