pmid	pmc	year	journal	title	chars	C1_known_locus	C2_coloc	C3_power_stability	C4_instrument_count	C5_smr_heidi
40988222	PMC12459491	2025	Medicine	Inhibition of lactylation by LRP1 expression increases the risk of intervertebral disc degeneration: A multi-omics summa	48106	0	0	0	0	0
40996626	PMC12463778	2025	Discover oncology	Integrated single-cell transcriptomics and Mendelian randomization identify neutrophil-associated biomarker genes in col	72287	0	1	0	0	0
41023518	PMC12552295	2025	Inflammopharmacology	Genetic insights into the relationship between anti-inflammatory drug target genes and oral diseases.	82310	0	0	0	0	0
41029193	PMC12487071	2025	The journal of headache and pain	Dissecting immune cell-specific genetics in migraine: a multi-omics framework for target discovery and therapeutic prior	88937	0	1	0	1	0
41029778	PMC12487246	2025	Hereditas	Multi-omics Mendelian randomization integrating RNA-seq, eQTL and pQTL data revealed CPXM1 as a potential drug target fo	65005	0	0	0	0	0
41056019	PMC12825853	2026	International journal of surgery (London, England)	Elucidating the causal effects of plasma metabolites on breast cancer from multiple perspectives.	64066	0	0	0	0	0
41060947	PMC12511739	2025	Clinical and applied thrombosis/hemostasis : official journal of the International Academy of Clinical and Applied Thrombosis/Hemostasis	Exploring the Causal Relationship Between Circulating miRNAs and Sepsis Through Mendelian Randomization Analysis.	39201	0	0	0	0	0
41104896	PMC12572761	2026	Molecular medicine reports	Exploring the role of cytochrome P450 family 1 subfamily B member 1 and quercetin in modulating neuropathic pain after s	95832	0	0	0	0	0
41118084	PMC12540951	2025	Discover oncology	Association of antipsychotic drug target genes and risk of lung cancer: a Mendelian randomization study.	62464	0	1	0	1	0
41120349	PMC12540756	2025	NPJ Parkinson's disease	Peripheral immune cell-specific genes in Parkinson's disease uncovered by multi-omics with therapeutic implications.	84814	0	1	0	1	0
41143248	PMC12549628	2025	Frontiers in aging neuroscience	Deciphering Alzheimer's disease transcriptomics: exploration and validation of core genes in tau and A&#x3b2; pathologic	70809	0	0	0	0	0
41165397	PMC12584030	2025	Translational vision science &amp; technology	Druggable Genome Mendelian Randomization and GWAS-sceQTLs MR Analysis Reveal Genetic Associations Between Open-Angle Gla	43977	0	1	0	0	0
41204543	PMC12599766	2025	Medicine	Development and validation of a prognostic model for endometrial carcinoma using causal genes identified by Mendelian ra	42726	0	0	0	0	0
41209747	PMC12595932	2025	Journal of pain research	Druggable Genome-Wide Mendelian Randomization Identifies Distinct Therapeutic Targets for Low Back Pain, Intervertebral 	45011	0	1	0	1	0
41210684	PMC12595268	2025	Journal of Cancer	Integrative Analysis of GEO Datasets and Mendelian Randomization Reveals a Potential Role ofISOC1 in Renal Cell Carcinom	57751	0	0	0	0	0
41216857	PMC12697907	2025	Advanced science (Weinheim, Baden-Wurttemberg, Germany)	Integrating Single-Cell Transcriptome-Wide Mendelian Randomization and Differentially Expressed Gene Analyses to Priorit	123351	0	1	1	1	0
41233745	PMC12613605	2025	The journal of headache and pain	A single-cell multi-omics framework identifies immune cell drivers of migraine and repurposable therapeutics.	58506	0	1	0	0	0
41254692	PMC12625014	2025	Journal of translational medicine	Integrative multi-omics and Mendelian randomization identify WWOX and THBS2 as potential therapeutic targets in mature T	81324	0	1	0	0	0
41254735	PMC12625036	2025	Journal of translational medicine	HLA-A drives diabetic retinopathy pathogenesis: multi-omics integration reveals resveratrol's therapeutic potential via 	58425	0	1	0	0	0
41258624	PMC12630431	2025	Discover oncology	Integrative genomic analysis reveals causal relationships between breast mammary tissue gene expression and breast cance	57128	0	0	0	0	0
41261637	PMC12582833	2025	Medicine	Identifying potential drug targets for cerebral amyloid angiopathy: A Mendelian randomization study based on the druggab	32839	0	1	0	0	0
41288822	PMC12647496	2025	Discover oncology	Integration of Mendelian randomization and transcriptome wide association studies for causal gene identification in ovar	44580	0	0	0	0	0
41296236	PMC12657707	2025	Discover oncology	Identification of potential bladder cancer drug targets through Mendelian randomization and molecular docking.	71714	0	1	0	0	0
41310897	PMC12661753	2025	Hereditas	Integrative multi-omics and single-cell transcriptomics reveal ARHGEF12 driving chemoresistance in bladder cancer.	59616	0	0	0	0	0
41346997	PMC12672242	2025	Frontiers in medicine	Neuromedin B identified as a therapeutic target for atopic dermatitis: evidence from Mendelian randomization and PCR val	49921	0	1	0	0	0
