direction	partner	pathway	interaction_name	ligand	receptor	prob_hi	prob_lo	pval_hi	pval_lo	delta_prob	abs_delta	sig_hi	sig_lo	sig_either
Incoming_partner_to_CD4	B	MIF	MIF_CD74_CXCR2	MIF	CD74_CXCR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Incoming_partner_to_CD4	B	MIF	MIF_ACKR3	MIF	ACKR3	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	MonoMacro	MIF	MIF_CD74_CXCR2	MIF	CD74_CXCR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	MonoMacro	MIF	MIF_ACKR3	MIF	ACKR3	0	0	1	1	0	0	FALSE	FALSE	FALSE
Incoming_partner_to_CD4	MonoMacro	MIF	MIF_CD74_CXCR2	MIF	CD74_CXCR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Incoming_partner_to_CD4	MonoMacro	MIF	MIF_ACKR3	MIF	ACKR3	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	CD8T	MIF	MIF_CD74_CXCR2	MIF	CD74_CXCR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	CD8T	MIF	MIF_ACKR3	MIF	ACKR3	0	0	1	1	0	0	FALSE	FALSE	FALSE
Incoming_partner_to_CD4	CD8T	MIF	MIF_CD74_CXCR2	MIF	CD74_CXCR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Incoming_partner_to_CD4	CD8T	MIF	MIF_ACKR3	MIF	ACKR3	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	Tprolif	MIF	MIF_CD74_CXCR2	MIF	CD74_CXCR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	Tprolif	MIF	MIF_ACKR3	MIF	ACKR3	0	0	1	1	0	0	FALSE	FALSE	FALSE
Incoming_partner_to_CD4	Tprolif	MIF	MIF_CD74_CXCR2	MIF	CD74_CXCR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Incoming_partner_to_CD4	Tprolif	MIF	MIF_ACKR3	MIF	ACKR3	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	NK	MIF	MIF_CD74_CXCR2	MIF	CD74_CXCR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	NK	MIF	MIF_ACKR3	MIF	ACKR3	0	0	1	1	0	0	FALSE	FALSE	FALSE
Incoming_partner_to_CD4	NK	MIF	MIF_CD74_CXCR2	MIF	CD74_CXCR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Incoming_partner_to_CD4	NK	MIF	MIF_ACKR3	MIF	ACKR3	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	pDC	MIF	MIF_CD74_CXCR2	MIF	CD74_CXCR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	pDC	MIF	MIF_ACKR3	MIF	ACKR3	0	0	1	1	0	0	FALSE	FALSE	FALSE
Incoming_partner_to_CD4	pDC	MIF	MIF_CD74_CXCR2	MIF	CD74_CXCR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Incoming_partner_to_CD4	pDC	MIF	MIF_ACKR3	MIF	ACKR3	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	Plasma	MIF	MIF_CD74_CXCR2	MIF	CD74_CXCR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	Plasma	MIF	MIF_ACKR3	MIF	ACKR3	0	0	1	1	0	0	FALSE	FALSE	FALSE
Incoming_partner_to_CD4	Plasma	MIF	MIF_CD74_CXCR2	MIF	CD74_CXCR2	0	0	1	1	0	0	FALSE	FALSE	FALSE
Incoming_partner_to_CD4	Plasma	MIF	MIF_ACKR3	MIF	ACKR3	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	IL16	IL16_CD4	IL16	CD4	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	CD8T	IL16	IL16_CD4	IL16	CD4	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	Tprolif	IL16	IL16_CD4	IL16	CD4	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	NK	IL16	IL16_CD4	IL16	CD4	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	Plasma	IL16	IL16_CD4	IL16	CD4	0	0	1	1	0	0	FALSE	FALSE	FALSE
Outgoing_CD4_to_partner	B	CCL	CCL5_CCR1	CCL5	CCR1	0	0	1	1	0	0	FALSE	FALSE	FALSE
