direction	pathway	total_raw_delta	mean_partner_raw_delta	mean_delta_per_LR
Incoming_partner_to_CD4	GRN	0	0	0
Incoming_partner_to_CD4	GUCA	0	0	0
Incoming_partner_to_CD4	RLN	0	0	0
Incoming_partner_to_CD4	LEP	0	0	0
Incoming_partner_to_CD4	GALECTIN	0.00848474535690064	0.00121210647955723	0.000242421295911447
Incoming_partner_to_CD4	NPVF	0	0	0
Incoming_partner_to_CD4	PROS	0	0	0
Incoming_partner_to_CD4	PSAP	0	0	0
Incoming_partner_to_CD4	PTH	0	0	0
Incoming_partner_to_CD4	QRFP	0	0	0
Incoming_partner_to_CD4	CHEMERIN	0	0	0
Incoming_partner_to_CD4	SAA	0	0	0
Incoming_partner_to_CD4	UGRP1	0	0	0
Incoming_partner_to_CD4	SCT	0	0	0
Incoming_partner_to_CD4	SLURP	0	0	0
Incoming_partner_to_CD4	BTLA	1.8011033151316e-05	2.57300473590228e-06	2.57300473590228e-06
Incoming_partner_to_CD4	TRH	0	0	0
Incoming_partner_to_CD4	UCN	0	0	0
Incoming_partner_to_CD4	UROTENSIN	0	0	0
Incoming_partner_to_CD4	BAG	0	0	0
Incoming_partner_to_CD4	KLK	0	0	0
Incoming_partner_to_CD4	ADM	0	0	0
Incoming_partner_to_CD4	CALC	0	0	0
Incoming_partner_to_CD4	IAPP	0	0	0
Incoming_partner_to_CD4	PROCR	0	0	0
Incoming_partner_to_CD4	CTSG	0	0	0
Incoming_partner_to_CD4	GRP	0	0	0
Incoming_partner_to_CD4	PTPR	0	0	0
Incoming_partner_to_CD4	SLITRK	0	0	0
Incoming_partner_to_CD4	IGFBP	0	0	0
Incoming_partner_to_CD4	CypA	0.0100181572972816	0.00143116532818309	0.00143116532818309
Incoming_partner_to_CD4	PROC	0	0	0
Incoming_partner_to_CD4	MHC-I	-1.87533113267371	-0.267904447524816	-0.00653425481767845
Incoming_partner_to_CD4	RBP4	0	0	0
Incoming_partner_to_CD4	SLIT	0	0	0
Incoming_partner_to_CD4	TULP	0	0	0
Incoming_partner_to_CD4	PLAU	0	0	0
Incoming_partner_to_CD4	COLLAGEN	0	0	0
Incoming_partner_to_CD4	FN1	0	0	0
Incoming_partner_to_CD4	LAMININ	-0.000439451407173002	-6.2778772453286e-05	-4.51645844987669e-07
Incoming_partner_to_CD4	CHAD	0	0	0
Incoming_partner_to_CD4	RELN	0	0	0
Incoming_partner_to_CD4	THBS	0	0	0
Incoming_partner_to_CD4	VTN	0	0	0
Incoming_partner_to_CD4	TENASCIN	0	0	0
Incoming_partner_to_CD4	NPNT	0	0	0
Incoming_partner_to_CD4	DSPP	0	0	0
Incoming_partner_to_CD4	VWF	0	0	0
Incoming_partner_to_CD4	BSP	0	0	0
Incoming_partner_to_CD4	DMP1	0	0	0
Incoming_partner_to_CD4	AGRN	0	0	0
Incoming_partner_to_CD4	HSPG	0	0	0
Incoming_partner_to_CD4	APP	-0.00161112691730088	-0.000230160988185841	-5.75402470464601e-05
Incoming_partner_to_CD4	CADM	0	0	0
Incoming_partner_to_CD4	CD23	0	0	0
Incoming_partner_to_CD4	CD34	0	0	0
Incoming_partner_to_CD4	CD39	0	0	0
Incoming_partner_to_CD4	CD45	0	0	0
Incoming_partner_to_CD4	CD46	0	0	0
Incoming_partner_to_CD4	CD48	0	0	0
Incoming_partner_to_CD4	CD6	0	0	0
Incoming_partner_to_CD4	CD80	0	0	0
Incoming_partner_to_CD4	CD86	0.0213871660856951	0.00305530944081359	0.0015276547204068
Incoming_partner_to_CD4	CD96	0	0	0
Incoming_partner_to_CD4	CD99	-0.0486393045262295	-0.00694847207517564	-0.00173711801879391
Incoming_partner_to_CD4	CDH	0	0	0
Incoming_partner_to_CD4	CDH1	-0.0027303979774108	-0.000390056853915829	-0.000130018951305276
Incoming_partner_to_CD4	CEACAM	0	0	0
Incoming_partner_to_CD4	CLDN	0	0	0
Incoming_partner_to_CD4	CLEC	0	0	0
