patient	timepoint	n_samples	n_CD4	ZFYVE19	SMC2	SPSB2	TPI1	HLA-C	KIAA0040	ProlifScore	ExhaustScore
P29	Pre	1	41	0.310028060777281	0.429174038683582	0	4.29740312450957	6.57412281256637	0.877306616181487	0.554119212772311	2.53267116775261
P3	Pre	1	46	0.665625529640211	0.325332598427785	0.843364987497487	3.04897243117947	6.42087504643211	1.05584965625176	0.840719455895785	1.195219478337
P3	Post	2	155	0.509219846139497	0.457297367052986	0.388330012530447	3.42333663192082	6.59820120621207	0.770388842909055	0.507446343410503	1.84010566890354
P30	Post	1	104	0.781410485671538	0.992497605931314	0.270857350699855	5.01755041054251	6.50761981036862	0.827732395860605	0.891695615748259	3.18287790415415
P31	Pre	1	68	0.637443464762627	0.859410677490267	0.258457874998328	5.16639645142382	6.64258173059585	0.523586707183821	0.915359345892259	3.06166231256398
P33	Pre	1	166	0.38474154198528	0.264524959703229	0.412573522278791	3.02039729318364	6.60408523755659	0.876660432340958	0.206278735159981	1.57259545381213
P35	Pre	1	34	0.768911715521722	0.362118319954935	0.190806937431278	3.71495910360175	6.66172054566995	0.380646812895816	0.20372525359936	1.87542447099158
P4	Pre	1	51	0.191641672027237	1.22959642923919	0.440929526611684	3.44873042010337	6.52568248017087	1.55009271577781	0.855602392756101	2.44226184078453
P4	Post	1	74	0.67387467592454	0.297530500371553	0.253286958884043	3.06318873402556	6.51121411245406	0.475513846580788	0.380850096965265	1.52067686628757
P4_T_enriched	Post	1	53	0.813806576926499	0.818770171555086	0.325832724041983	3.10258615470976	6.34332712516413	0.534552620813375	0.660332617515565	2.5867811713048
P5	Post	2	175	0.676920247637367	0.377139445889386	0.33619134423006	4.19772655220205	6.70311647970708	0.984720099114941	0.479750187445215	3.02197700656974
P6	Pre	1	77	1.14704705614138	1.90456558754872	0.807150422646107	5.51371823233056	6.24716433125499	1.26307150880392	2.14561638237253	2.43629943950637
P6	Post	1	54	1.03345156677975	2.71294353438804	0.738500506153526	5.8722203046001	6.228175333916	1.37169916437253	2.53283768115787	2.90037469629819
P7	Pre	1	129	0.205251802193367	0.126310981245075	0.436679760107827	3.36743830901405	6.7090414379022	0.344285075113522	0.170224577874056	1.64713215107936
P7	Post	1	50	0.323484382550147	0.43890744546329	0.359458727326266	4.07974732145948	6.54165841479781	0.95214508698891	0.86628355843158	2.39976708945217
P8	Pre	1	54	0.118658442350132	0.5167032688228	0.099861009556321	2.03323989659407	6.67549952516185	0.571521644633021	0.2830253735062	0.771867233079315
P8	Post	1	66	0.945487608897138	0.0816519600562462	0.0815003997314094	2.57105444986711	6.69221722758438	0.36659765889553	0.357648141016086	2.00614933778225
